Energy (in eV), backscattering yield of material al2k-NASCAP at incidence 60.0 degree
   X,       Y
8390.0, 0.39483577
8400.0, 0.39478853
8410.0, 0.39474136
8420.0, 0.3946943
8430.0, 0.3946473
8440.0, 0.3946004
8450.0, 0.3945536
8460.0, 0.39450687
8470.0, 0.39446023
8480.0, 0.3944137
8490.0, 0.39436722
8500.0, 0.39432085
8510.0, 0.39427456
8520.0, 0.39422837
8530.0, 0.39418226
8540.0, 0.39413622
8550.0, 0.3940903
8560.0, 0.39404446
8570.0, 0.39399868
8580.0, 0.39395303
8590.0, 0.39390743
8600.0, 0.3938619
8610.0, 0.39381647
8620.0, 0.39377114
8630.0, 0.3937259
8640.0, 0.39368072
8650.0, 0.39363566
8660.0, 0.39359066
8670.0, 0.39354575
8680.0, 0.39350092
8690.0, 0.3934562
8700.0, 0.39341152
8710.0, 0.39336696
8720.0, 0.39332247
8730.0, 0.39327806
8740.0, 0.39323372
8750.0, 0.3931895
8760.0, 0.39314535
8770.0, 0.39310127
8780.0, 0.3930573
8790.0, 0.3930134
8800.0, 0.39296955
8810.0, 0.3929258
8820.0, 0.39288217
8830.0, 0.39283857
8840.0, 0.3927951
8850.0, 0.3927517
8860.0, 0.39270836
8870.0, 0.39266512
8880.0, 0.39262193
8890.0, 0.39257887
8900.0, 0.39253587
8910.0, 0.39249295
8920.0, 0.3924501
8930.0, 0.39240733
8940.0, 0.39236465
8950.0, 0.39232206
8960.0, 0.39227957
8970.0, 0.3922371
8980.0, 0.39219478
8990.0, 0.39215246
9000.0, 0.3921103
9010.0, 0.39206818
9020.0, 0.39202613
9030.0, 0.3919842
9040.0, 0.3919423
9050.0, 0.3919005
9060.0, 0.3918588
9070.0, 0.39181715
9080.0, 0.39177558
9090.0, 0.3917341
9100.0, 0.3916927
9110.0, 0.39165136
9120.0, 0.39161012
9130.0, 0.39156896
9140.0, 0.39152786
9150.0, 0.39148685
9160.0, 0.3914459
9170.0, 0.39140505
9180.0, 0.39136425
9190.0, 0.39132357
9200.0, 0.39128292
9210.0, 0.39124238
9220.0, 0.3912019
9230.0, 0.3911615
9240.0, 0.39112118
9250.0, 0.39108095
9260.0, 0.39104077
9270.0, 0.3910007
9280.0, 0.39096066
9290.0, 0.39092073
9300.0, 0.39088085
9310.0, 0.3908411
9320.0, 0.39080134
9330.0, 0.3907617
9340.0, 0.39072216
9350.0, 0.39068267
9360.0, 0.39064327
9370.0, 0.39060393
9380.0, 0.39056468
9390.0, 0.3905255
9400.0, 0.39048636
9410.0, 0.39044732
9420.0, 0.39040837
9430.0, 0.39036947
9440.0, 0.39033064
9450.0, 0.3902919
9460.0, 0.39025325
9470.0, 0.39021462
