#    time,   allPop,  allPop, ions1, ions1, elec1, elec1, 
#        ,   allNodes,  node0,  allNodes,  node0,  allNodes,  node0, 
8.909877E-5, -7.002339E-8, -7.002339E-8, 0.0, 0.0, -7.002339E-8, -7.002339E-8, 
9.014392E-5, -7.29937E-8, -7.29937E-8, 2.6894044E-8, 2.6894044E-8, -9.988775E-8, -9.988775E-8, 
9.118906E-5, -6.9030925E-8, -6.9030925E-8, 0.0, 0.0, -6.9030925E-8, -6.9030925E-8, 
9.223421E-5, 2.717484E-8, 2.717484E-8, 6.288679E-8, 6.288679E-8, -3.571195E-8, -3.571195E-8, 
9.301807E-5, -1.4681406E-7, -1.4681406E-7, 3.7212413E-8, 3.7212413E-8, -1.8402648E-7, -1.8402648E-7, 
9.4063216E-5, -1.052508E-7, -1.052508E-7, 0.0, 0.0, -1.052508E-7, -1.052508E-7, 
9.5108364E-5, -7.820183E-8, -7.820183E-8, 0.0, 0.0, -7.820183E-8, -7.820183E-8, 
9.615351E-5, -8.411561E-8, -8.411561E-8, 0.0, 0.0, -8.411561E-8, -8.411561E-8, 
9.719866E-5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
9.824381E-5, -8.491733E-8, -8.491733E-8, 4.827537E-8, 4.827537E-8, -1.3319271E-7, -1.3319271E-7, 
9.902767E-5, -9.46858E-8, -9.46858E-8, 7.171745E-8, 7.171745E-8, -1.6640325E-7, -1.6640325E-7, 
1.0E-4, -7.971257E-8, -7.971257E-8, 0.0, 0.0, -7.971257E-8, -7.971257E-8, 
