#    time,   allInteract,  allInteract,  allInteract,  allInteract, 0-photoemission, 0-photoemission, 0-photoemission, 0-photoemission, 1-secondary emission from electrons of Ambiant_Electrons, 1-secondary emission from electrons of Ambiant_Electrons, 1-secondary emission from electrons of Ambiant_Electrons, 1-secondary emission from electrons of Ambiant_Electrons, 2-secondary emission from protons of Ambiant_Protons, 2-secondary emission from protons of Ambiant_Protons, 2-secondary emission from protons of Ambiant_Protons, 2-secondary emission from protons of Ambiant_Protons, 
#        ,   allNodes,  node0,  node1,  node2,  allNodes,  node0,  node1,  node2,  allNodes,  node0,  node1,  node2,  allNodes,  node0,  node1,  node2, 
1000.01, -7.995489E-4, -1.6773866E-4, -1.8999596E-4, -4.418143E-4, -2.2013288E-7, -1.3352413E-8, -7.207032E-11, -2.0670839E-7, -6.269782E-4, -1.271065E-4, -9.9582474E-5, -4.0028917E-4, -1.7235066E-4, -4.06188E-5, -9.0413414E-5, -4.1318457E-5, 
1000.03, -8.0022315E-4, -1.6730321E-4, -1.9070302E-4, -4.4221696E-4, -6.603988E-7, -4.0057255E-8, -2.1621097E-10, -6.201253E-7, -6.2608917E-4, -1.269342E-4, -9.944745E-5, -3.997075E-4, -1.7347363E-4, -4.0328952E-5, -9.125537E-5, -4.1889307E-5, 
1000.07, -7.985093E-4, -1.678033E-4, -1.888943E-4, -4.4181163E-4, -1.5395876E-6, -9.3385474E-8, -5.0405274E-10, -1.4456981E-6, -6.248936E-4, -1.266993E-4, -9.9263445E-5, -3.989308E-4, -1.7207609E-4, -4.101062E-5, -8.963033E-5, -4.1435145E-5, 
1000.15, -8.0086465E-4, -1.6712412E-4, -1.8997086E-4, -4.437697E-4, -3.2993087E-6, -2.0012344E-7, -1.0801757E-9, -3.0981053E-6, -6.238973E-4, -1.2650379E-4, -9.911025E-5, -3.9828327E-4, -1.7366806E-4, -4.0420204E-5, -9.085954E-5, -4.238831E-5, 
1020.82025, -0.001025116, -1.8133127E-4, -1.8988196E-4, -6.539028E-4, -2.2495253E-4, -1.3644757E-5, -7.364826E-8, -2.1123407E-4, -6.272602E-4, -1.2718556E-4, -9.964436E-5, -4.0043026E-4, -1.7290331E-4, -4.0500938E-5, -9.016391E-5, -4.223843E-5, 
1041.5873, -0.0015053289, -2.1143274E-4, -1.8803887E-4, -0.0011058579, -6.974402E-4, -4.2304055E-5, -2.2833825E-7, -6.549078E-4, -6.4490555E-4, -1.3082488E-4, -1.0249564E-4, -4.11585E-4, -1.6298387E-4, -3.8303784E-5, -8.5314874E-5, -3.9365204E-5, 
1060.0, -0.0019221741, -2.3752914E-4, -1.8637055E-4, -0.0014982744, -0.001108227, -6.722081E-5, -3.628276E-7, -0.0010406433, -6.5900176E-4, -1.339478E-4, -1.0494232E-4, -4.2011158E-4, -1.5494574E-4, -3.636056E-5, -8.106537E-5, -3.7519796E-5, 
1080.4701, -0.0021367632, -2.5102336E-4, -1.8574431E-4, -0.0016999951, -0.0013195087, -8.003632E-5, -4.320001E-7, -0.0012390404, -6.6627935E-4, -1.3572739E-4, -1.0633654E-4, -4.2421542E-4, -1.509747E-4, -3.525964E-5, -7.897579E-5, -3.6739257E-5, 
1100.9501, -0.0021369015, -2.5156053E-4, -1.8499559E-4, -0.0017003451, -0.0013195087, -8.003632E-5, -4.3200004E-7, -0.0012390404, -6.6822197E-4, -1.3675756E-4, -1.0714361E-4, -4.243208E-4, -1.4917059E-4, -3.476665E-5, -7.741998E-5, -3.6983954E-5, 
1141.91, -0.0021364614, -2.5228216E-4, -1.8478777E-4, -0.0016993915, -0.0013195087, -8.003632E-5, -4.3200004E-7, -0.0012390404, -6.702391E-4, -1.3790939E-4, -1.0804604E-4, -4.2428367E-4, -1.4671359E-4, -3.4336445E-5, -7.630973E-5, -3.6067424E-5, 
