Energy (in eV), SEEE yield of material CERS-withBUCT at isotropic incidence
   X,       Y
5120.0, 4.3018193
5130.0, 4.2971373
5140.0, 4.292467
5150.0, 4.2878084
5160.0, 4.2831626
5170.0, 4.2785277
5180.0, 4.273905
5190.0, 4.269293
5200.0, 4.2646937
5210.0, 4.2601056
5220.0, 4.2555285
5230.0, 4.2509637
5240.0, 4.246411
5250.0, 4.241868
5260.0, 4.237337
5270.0, 4.2328186
5280.0, 4.2283106
5290.0, 4.223814
5300.0, 4.2193284
5310.0, 4.2148547
5320.0, 4.210391
5330.0, 4.2059393
5340.0, 4.201498
5350.0, 4.1970687
5360.0, 4.1926503
5370.0, 4.1882424
5380.0, 4.1838455
5390.0, 4.1794596
5400.0, 4.175084
5410.0, 4.17072
5420.0, 4.1663666
5430.0, 4.162024
5440.0, 4.157692
5450.0, 4.1533704
5460.0, 4.1490593
5470.0, 4.144759
5480.0, 4.1404696
5490.0, 4.1361904
5500.0, 4.131922
5510.0, 4.127663
5520.0, 4.123415
5530.0, 4.119178
5540.0, 4.114951
5550.0, 4.110734
5560.0, 4.1065273
5570.0, 4.102331
5580.0, 4.098144
5590.0, 4.0939684
5600.0, 4.0898023
5610.0, 4.085646
5620.0, 4.0815005
5630.0, 4.077365
5640.0, 4.0732384
5650.0, 4.0691223
5660.0, 4.0650167
5670.0, 4.0609202
5680.0, 4.056834
5690.0, 4.0527573
5700.0, 4.0486903
5710.0, 4.044633
5720.0, 4.040586
5730.0, 4.0365477
5740.0, 4.0325193
5750.0, 4.028501
5760.0, 4.0244923
5770.0, 4.0204926
5780.0, 4.016502
5790.0, 4.0125217
5800.0, 4.0085506
5810.0, 4.004589
5820.0, 4.0006366
5830.0, 3.996693
5840.0, 3.9927595
5850.0, 3.9888349
5860.0, 3.9849198
5870.0, 3.9810133
5880.0, 3.9771163
5890.0, 3.9732282
5900.0, 3.9693494
5910.0, 3.9654799
5920.0, 3.961619
5930.0, 3.9577677
5940.0, 3.9539244
5950.0, 3.9500906
5960.0, 3.9462662
5970.0, 3.9424496
5980.0, 3.938643
5990.0, 3.934844
6000.0, 3.931055
6010.0, 3.927274
6020.0, 3.9235022
6030.0, 3.919739
6040.0, 3.9159846
6050.0, 3.9122381
6060.0, 3.9085011
6070.0, 3.9047713
6080.0, 3.9010515
6090.0, 3.897339
6100.0, 3.8936362
6110.0, 3.889942
6120.0, 3.8862548
6130.0, 3.882577
6140.0, 3.878908
6150.0, 3.875246
6160.0, 3.871593
6170.0, 3.8679488
6180.0, 3.8643117
6190.0, 3.8606844
6200.0, 3.8570638
6210.0, 3.8534522
6220.0, 3.849849
6230.0, 3.8462527
6240.0, 3.8426661
6250.0, 3.839086
6260.0, 3.8355153
6270.0, 3.831952
6280.0, 3.8283963
6290.0, 3.824849
6300.0, 3.8213093
6310.0, 3.8177779
6320.0, 3.814254
6330.0, 3.8107383
6340.0, 3.80723
6350.0, 3.8037305
6360.0, 3.8002377
6370.0, 3.7967534
6380.0, 3.7932758
6390.0, 3.7898073
6400.0, 3.7863457
6410.0, 3.7828918
6420.0, 3.7794456
6430.0, 3.7760067
6440.0, 3.7725756
6450.0, 3.7691522
6460.0, 3.7657356
6470.0, 3.7623277
6480.0, 3.7589264
6490.0, 3.7555327
6500.0, 3.7521465
6510.0, 3.7487674
6520.0, 3.7453961
6530.0, 3.7420323
6540.0, 3.7386749
6550.0, 3.7353258
6560.0, 3.7319834
