Energy (in eV), backscattering yield of material alox-reduced-PEY at isotropic incidence
   X,       Y
8110.0, 0.322195
8120.0, 0.32215014
8130.0, 0.32210538
8140.0, 0.32206067
8150.0, 0.3220161
8160.0, 0.32197154
8170.0, 0.32192713
8180.0, 0.32188275
8190.0, 0.3218385
8200.0, 0.3217943
8210.0, 0.3217502
8220.0, 0.3217062
8230.0, 0.32166225
8240.0, 0.32161844
8250.0, 0.32157466
8260.0, 0.321531
8270.0, 0.3214874
8280.0, 0.3214439
8290.0, 0.32140046
8300.0, 0.3213571
8310.0, 0.32131386
8320.0, 0.32127067
8330.0, 0.3212276
8340.0, 0.32118455
8350.0, 0.32114166
8360.0, 0.3210988
8370.0, 0.32105607
8380.0, 0.32101336
8390.0, 0.32097074
8400.0, 0.32092825
8410.0, 0.3208858
8420.0, 0.32084346
8430.0, 0.3208012
8440.0, 0.320759
8450.0, 0.32071686
8460.0, 0.32067487
8470.0, 0.3206329
8480.0, 0.32059103
8490.0, 0.32054922
8500.0, 0.32050756
8510.0, 0.3204659
8520.0, 0.32042435
8530.0, 0.3203829
8540.0, 0.3203415
8550.0, 0.32030016
8560.0, 0.32025898
8570.0, 0.32021782
8580.0, 0.32017678
8590.0, 0.32013574
8600.0, 0.32009485
8610.0, 0.320054
8620.0, 0.32001325
8630.0, 0.31997257
8640.0, 0.31993198
8650.0, 0.31989145
8660.0, 0.31985098
8670.0, 0.31981063
8680.0, 0.31977034
8690.0, 0.31973013
8700.0, 0.31969
8710.0, 0.31964996
8720.0, 0.31960997
8730.0, 0.31957006
8740.0, 0.31953022
8750.0, 0.31949046
8760.0, 0.31945083
8770.0, 0.3194112
8780.0, 0.31937167
8790.0, 0.31933227
8800.0, 0.3192929
8810.0, 0.31925356
8820.0, 0.31921437
8830.0, 0.3191752
8840.0, 0.31913617
8850.0, 0.3190972
8860.0, 0.31905824
8870.0, 0.3190194
8880.0, 0.31898063
8890.0, 0.31894195
8900.0, 0.31890333
8910.0, 0.3188648
8920.0, 0.31882632
8930.0, 0.31878793
8940.0, 0.3187496
8950.0, 0.31871134
8960.0, 0.3186732
8970.0, 0.31863508
8980.0, 0.31859708
8990.0, 0.31855908
9000.0, 0.31852123
9010.0, 0.31848344
9020.0, 0.31844568
9030.0, 0.318408
9040.0, 0.31837046
9050.0, 0.31833294
9060.0, 0.31829548
9070.0, 0.31825814
9080.0, 0.3182208
9090.0, 0.31818357
9100.0, 0.31814644
9110.0, 0.31810936
9120.0, 0.31807232
9130.0, 0.3180354
9140.0, 0.31799853
9150.0, 0.31796172
9160.0, 0.31792498
9170.0, 0.31788832
9180.0, 0.31785175
9190.0, 0.3178152
9200.0, 0.3177788
9210.0, 0.3177424
9220.0, 0.3177061
9230.0, 0.31766987
9240.0, 0.3176337
9250.0, 0.3175976
9260.0, 0.3175616
9270.0, 0.31752563
9280.0, 0.31748974
9290.0, 0.31745392
9300.0, 0.3174182
9310.0, 0.31738248
9320.0, 0.31734687
9330.0, 0.31731135
9340.0, 0.31727585
9350.0, 0.31724045
9360.0, 0.31720513
9370.0, 0.31716985
9380.0, 0.31713468
9390.0, 0.3170995
9400.0, 0.31706446
9410.0, 0.31702948
9420.0, 0.31699455
9430.0, 0.31695968
9440.0, 0.3169249
9450.0, 0.31689015
9460.0, 0.31685552
9470.0, 0.3168209
9480.0, 0.31678638
9490.0, 0.31675193
9500.0, 0.31671754
9510.0, 0.3166832
9520.0, 0.31664896
9530.0, 0.31661478
9540.0, 0.31658065
9550.0, 0.31654656
9560.0, 0.31651258
9570.0, 0.31647864
9580.0, 0.31644478
9590.0, 0.316411
9600.0, 0.31637722
9610.0, 0.31634358
9620.0, 0.31631
9630.0, 0.31627643
9640.0, 0.31624296
9650.0, 0.31620955
9660.0, 0.3161762
9670.0, 0.31614295
9680.0, 0.31610972
9690.0, 0.31607658
9700.0, 0.3160435
9710.0, 0.31601048
9720.0, 0.3159775
9730.0, 0.31594464
9740.0, 0.3159118
9750.0, 0.31587902
9760.0, 0.31584632
