Energy (in eV), SEEE yield of material CFRP-NASCAP at isotropic incidence
   X,       Y
6000.0, 0.7358264
6010.0, 0.7349846
6020.0, 0.7341449
6030.0, 0.73330724
6040.0, 0.73247176
6050.0, 0.73163813
6060.0, 0.73080677
6070.0, 0.72997725
6080.0, 0.7291498
6090.0, 0.7283244
6100.0, 0.72750115
6110.0, 0.7266796
6120.0, 0.7258603
6130.0, 0.72504276
6140.0, 0.72422737
6150.0, 0.723414
6160.0, 0.7226025
6170.0, 0.7217928
6180.0, 0.7209853
6190.0, 0.72017956
6200.0, 0.71937597
6210.0, 0.71857405
6220.0, 0.7177742
6230.0, 0.7169762
6240.0, 0.71618026
6250.0, 0.7153861
6260.0, 0.71459365
6270.0, 0.7138033
6280.0, 0.7130148
6290.0, 0.7122283
6300.0, 0.7114435
6310.0, 0.7106606
6320.0, 0.7098795
6330.0, 0.7091003
6340.0, 0.70832294
6350.0, 0.70754737
6360.0, 0.7067736
6370.0, 0.70600176
6380.0, 0.7052316
6390.0, 0.70446336
6400.0, 0.70369685
6410.0, 0.7029322
6420.0, 0.70216936
6430.0, 0.7014081
6440.0, 0.7006488
6450.0, 0.69989115
6460.0, 0.69913536
6470.0, 0.6983812
6480.0, 0.69762886
6490.0, 0.6968784
6500.0, 0.69612956
6510.0, 0.69538236
6520.0, 0.694637
6530.0, 0.6938933
6540.0, 0.6931513
6550.0, 0.69241095
6560.0, 0.69167244
6570.0, 0.6909355
6580.0, 0.6902004
6590.0, 0.6894668
6600.0, 0.68873495
6610.0, 0.68800473
6620.0, 0.6872763
6630.0, 0.68654937
6640.0, 0.6858241
6650.0, 0.68510056
6660.0, 0.6843786
6670.0, 0.68365836
6680.0, 0.6829396
6690.0, 0.68222266
6700.0, 0.68150723
6710.0, 0.6807934
6720.0, 0.6800812
6730.0, 0.6793706
6740.0, 0.6786616
6750.0, 0.6779541
6760.0, 0.6772483
6770.0, 0.6765441
6780.0, 0.67584133
6790.0, 0.67514014
6800.0, 0.6744406
6810.0, 0.6737425
6820.0, 0.6730461
6830.0, 0.6723511
6840.0, 0.6716578
6850.0, 0.6709659
6860.0, 0.6702757
6870.0, 0.6695869
6880.0, 0.6688996
6890.0, 0.66821384
6900.0, 0.6675296
6910.0, 0.6668468
6920.0, 0.66616553
6930.0, 0.6654858
6940.0, 0.6648075
6950.0, 0.66413075
6960.0, 0.66345555
6970.0, 0.6627817
6980.0, 0.6621094
6990.0, 0.66143847
7000.0, 0.660769
7010.0, 0.6601009
7020.0, 0.6594345
7030.0, 0.65876937
7040.0, 0.65810573
7050.0, 0.6574436
7060.0, 0.6567827
7070.0, 0.6561234
7080.0, 0.6554654
7090.0, 0.65480894
7100.0, 0.6541538
7110.0, 0.6535001
7120.0, 0.6528478
7130.0, 0.6521969
7140.0, 0.6515474
7150.0, 0.65089923
7160.0, 0.65025246
7170.0, 0.64960706
7180.0, 0.6489631
7190.0, 0.6483205
7200.0, 0.64767927
7210.0, 0.64703935
7220.0, 0.64640087
7230.0, 0.6457637
7240.0, 0.6451278
7250.0, 0.6444932
7260.0, 0.64386016
7270.0, 0.64322835
7280.0, 0.6425978
7290.0, 0.6419687
7300.0, 0.6413408
7310.0, 0.6407142
7320.0, 0.6400891
7330.0, 0.6394652
7340.0, 0.6388426
7350.0, 0.63822126
7360.0, 0.6376012
7370.0, 0.6369825
7380.0, 0.6363651
7390.0, 0.635749
7400.0, 0.6351341
7410.0, 0.6345205
7420.0, 0.6339082
7430.0, 0.6332971
7440.0, 0.63268733
7450.0, 0.6320789
7460.0, 0.6314715
7470.0, 0.6308655
7480.0, 0.6302607
7490.0, 0.6296572
7500.0, 0.62905496
7510.0, 0.6284539
7520.0, 0.62785405
7530.0, 0.62725544
7540.0, 0.6266581
7550.0, 0.6260619
7560.0, 0.625467
7570.0, 0.62487334
7580.0, 0.62428075
7590.0, 0.6236894
7600.0, 0.6230994
7610.0, 0.6225104
7620.0, 0.6219227
7630.0, 0.6213363
7640.0, 0.62075084
7650.0, 0.62016666
7660.0, 0.61958367
7670.0, 0.6190018
7680.0, 0.61842126
7690.0, 0.6178418
7700.0, 0.61726344
7710.0, 0.6166863
7720.0, 0.6161104
7730.0, 0.6155355
7740.0, 0.61496174
7750.0, 0.61438924
7760.0, 0.6138179
7770.0, 0.6132476
7780.0, 0.6126784
7790.0, 0.61211044
7800.0, 0.61154366
7810.0, 0.6109778
7820.0, 0.6104132
7830.0, 0.6098498
7840.0, 0.60928744
7850.0, 0.60872614
7860.0, 0.6081659
7870.0, 0.6076069
7880.0, 0.6070489
7890.0, 0.60649204
7900.0, 0.6059363
7910.0, 0.6053816
7920.0, 0.6048281
7930.0, 0.6042755
7940.0, 0.6037242
7950.0, 0.6031738
7960.0, 0.60262454
7970.0, 0.60207635
7980.0, 0.6015293
7990.0, 0.6009832
8000.0, 0.6004381
8010.0, 0.59989417
8020.0, 0.5993513
8030.0, 0.59880954
8040.0, 0.5982687
8050.0, 0.597729
8060.0, 0.5971903
8070.0, 0.5966526
8080.0, 0.596116
