Energy (in eV), SEEE yield of material alox-reduced-PEY at isotropic incidence
   X,       Y
6260.0, 1.2592325
6270.0, 1.2580115
6280.0, 1.2567934
6290.0, 1.2555783
6300.0, 1.2543658
6310.0, 1.2531565
6320.0, 1.2519503
6330.0, 1.2507467
6340.0, 1.2495463
6350.0, 1.2483484
6360.0, 1.2471536
6370.0, 1.2459617
6380.0, 1.2447727
6390.0, 1.2435863
6400.0, 1.2424027
6410.0, 1.241222
6420.0, 1.2400442
6430.0, 1.2388693
6440.0, 1.2376971
6450.0, 1.2365276
6460.0, 1.2353609
6470.0, 1.2341969
6480.0, 1.2330357
6490.0, 1.2318772
6500.0, 1.2307215
6510.0, 1.2295684
6520.0, 1.2284181
6530.0, 1.2272705
6540.0, 1.2261256
6550.0, 1.2249833
6560.0, 1.2238436
6570.0, 1.2227066
6580.0, 1.2215724
6590.0, 1.2204406
6600.0, 1.2193116
6610.0, 1.2181852
6620.0, 1.2170614
6630.0, 1.21594
6640.0, 1.2148213
6650.0, 1.2137052
6660.0, 1.2125916
6670.0, 1.2114807
6680.0, 1.2103724
6690.0, 1.2092667
6700.0, 1.2081634
6710.0, 1.2070625
6720.0, 1.2059642
6730.0, 1.2048683
6740.0, 1.203775
6750.0, 1.2026843
6760.0, 1.2015958
6770.0, 1.20051
6780.0, 1.1994267
6790.0, 1.1983457
6800.0, 1.197267
6810.0, 1.1961911
6820.0, 1.1951172
6830.0, 1.194046
6840.0, 1.1929771
6850.0, 1.1919107
6860.0, 1.1908466
6870.0, 1.189785
6880.0, 1.1887257
6890.0, 1.1876688
6900.0, 1.1866143
6910.0, 1.185562
6920.0, 1.184512
6930.0, 1.1834643
6940.0, 1.182419
6950.0, 1.1813761
6960.0, 1.1803355
6970.0, 1.1792973
6980.0, 1.1782612
6990.0, 1.1772276
7000.0, 1.1761959
7010.0, 1.1751666
7020.0, 1.1741399
7030.0, 1.1731151
7040.0, 1.1720923
7050.0, 1.1710722
7060.0, 1.1700543
7070.0, 1.1690385
7080.0, 1.168025
7090.0, 1.1670135
7100.0, 1.1660043
7110.0, 1.1649971
7120.0, 1.1639924
7130.0, 1.1629896
7140.0, 1.1619895
7150.0, 1.160991
7160.0, 1.159995
7170.0, 1.1590008
7180.0, 1.1580089
7190.0, 1.1570193
7200.0, 1.1560315
7210.0, 1.155046
7220.0, 1.1540625
7230.0, 1.1530813
7240.0, 1.1521021
7250.0, 1.151125
7260.0, 1.1501502
7270.0, 1.149177
7280.0, 1.148206
7290.0, 1.1472373
7300.0, 1.1462703
7310.0, 1.1453056
7320.0, 1.1443429
7330.0, 1.1433822
7340.0, 1.1424236
7350.0, 1.141467
7360.0, 1.1405123
7370.0, 1.1395596
7380.0, 1.1386088
7390.0, 1.1376601
7400.0, 1.1367136
7410.0, 1.135769
7420.0, 1.1348263
7430.0, 1.1338854
7440.0, 1.1329466
7450.0, 1.13201
7460.0, 1.131075
7470.0, 1.130142
7480.0, 1.1292111
7490.0, 1.1282817
7500.0, 1.1273546
7510.0, 1.1264294
7520.0, 1.1255059
7530.0, 1.1245846
7540.0, 1.123665
7550.0, 1.1227472
7560.0, 1.1218314
7570.0, 1.1209176
7580.0, 1.1200056
7590.0, 1.1190952
7600.0, 1.1181868
7610.0, 1.1172805
7620.0, 1.1163759
7630.0, 1.115473
7640.0, 1.1145722
7650.0, 1.1136729
7660.0, 1.1127756
7670.0, 1.1118802
7680.0, 1.1109865
7690.0, 1.1100945
7700.0, 1.1092045
7710.0, 1.1083161
7720.0, 1.1074296
7730.0, 1.1065449
7740.0, 1.105662
7750.0, 1.1047806
7760.0, 1.1039014
7770.0, 1.1030236
7780.0, 1.1021477
7790.0, 1.1012735
7800.0, 1.1004012
7810.0, 1.0995305
7820.0, 1.0986614
7830.0, 1.0977943
7840.0, 1.0969288
7850.0, 1.096065
7860.0, 1.0952028
7870.0, 1.0943424
7880.0, 1.0934838
7890.0, 1.0926268
7900.0, 1.0917716
7910.0, 1.0909178
7920.0, 1.090066
7930.0, 1.0892159
7940.0, 1.088367
7950.0, 1.0875202
7960.0, 1.0866749
7970.0, 1.0858312
7980.0, 1.0849893
7990.0, 1.0841489
8000.0, 1.0833101
8010.0, 1.0824732
8020.0, 1.0816376
8030.0, 1.080804
8040.0, 1.0799716
8050.0, 1.0791411
8060.0, 1.078312
8070.0, 1.0774846
8080.0, 1.0766587
8090.0, 1.0758345
8100.0, 1.0750121
8110.0, 1.0741911
8120.0, 1.0733714
8130.0, 1.0725536
8140.0, 1.071737
8150.0, 1.0709225
8160.0, 1.0701092
8170.0, 1.0692976
8180.0, 1.0684875
8190.0, 1.0676789
8200.0, 1.066872
8210.0, 1.0660663
8220.0, 1.0652624
8230.0, 1.0644599
8240.0, 1.0636591
8250.0, 1.0628598
8260.0, 1.0620617
8270.0, 1.0612653
8280.0, 1.0604705
8290.0, 1.0596771
8300.0, 1.0588852
8310.0, 1.0580947
8320.0, 1.0573059
8330.0, 1.0565184
8340.0, 1.0557325
8350.0, 1.0549479
8360.0, 1.0541649
8370.0, 1.0533832
8380.0, 1.0526031
8390.0, 1.0518245
8400.0, 1.0510473
8410.0, 1.0502715
8420.0, 1.0494972
8430.0, 1.0487243
8440.0, 1.0479529
8450.0, 1.0471828
8460.0, 1.0464143
8470.0, 1.045647
8480.0, 1.0448812
8490.0, 1.044117
8500.0, 1.0433539
8510.0, 1.0425923
8520.0, 1.0418323
8530.0, 1.0410734
8540.0, 1.0403162
8550.0, 1.0395602
8560.0, 1.0388055
8570.0, 1.0380522
8580.0, 1.0373003
8590.0, 1.03655
8600.0, 1.0358008
8610.0, 1.0350529
8620.0, 1.0343066
8630.0, 1.0335616
8640.0, 1.0328178
8650.0, 1.0320756
8660.0, 1.0313346
8670.0, 1.030595
8680.0, 1.0298566
8690.0, 1.0291196
8700.0, 1.028384
8710.0, 1.0276495
8720.0, 1.0269166
8730.0, 1.0261849
8740.0, 1.0254545
8750.0, 1.0247253
8760.0, 1.0239975
8770.0, 1.0232711
8780.0, 1.022546
8790.0, 1.0218221
8800.0, 1.0210993
8810.0, 1.020378
8820.0, 1.0196582
8830.0, 1.0189394
8840.0, 1.0182219
8850.0, 1.0175055
8860.0, 1.0167909
8870.0, 1.016077
8880.0, 1.0153646
8890.0, 1.0146533
8900.0, 1.0139437
8910.0, 1.0132349
8920.0, 1.0125275
8930.0, 1.0118213
8940.0, 1.0111165
8950.0, 1.0104128
8960.0, 1.0097103
8970.0, 1.009009
8980.0, 1.0083089
8990.0, 1.0076103
9000.0, 1.0069127
9010.0, 1.0062164
9020.0, 1.005521
9030.0, 1.0048273
9040.0, 1.0041348
9050.0, 1.0034432
9060.0, 1.0027527
9070.0, 1.0020638
9080.0, 1.0013757
9090.0, 1.000689
9100.0, 1.0000033
9110.0, 0.99931914
9120.0, 0.9986359
9130.0, 0.99795395
9140.0, 0.9972732
9150.0, 0.9965935
9160.0, 0.995915
9170.0, 0.99523765
9180.0, 0.99456125
9190.0, 0.9938865
9200.0, 0.99321246
9210.0, 0.9925398
9220.0, 0.99186826
9230.0, 0.9911979
9240.0, 0.9905286
9250.0, 0.98986036
9260.0, 0.98919344
9270.0, 0.9885275
9280.0, 0.9878628
9290.0, 0.9871991
9300.0, 0.9865366
9310.0, 0.9858752
9320.0, 0.985215
9330.0, 0.9845559
9340.0, 0.98389786
9350.0, 0.98324084
9360.0, 0.98258513
9370.0, 0.98193026
9380.0, 0.98127675
9390.0, 0.98062426
9400.0, 0.9799728
9410.0, 0.97932243
9420.0, 0.9786731
9430.0, 0.9780251
9440.0, 0.97737783
9450.0, 0.97673184
9460.0, 0.976087
9470.0, 0.9754429
9480.0, 0.97480035
9490.0, 0.97415864
9500.0, 0.9735179
9510.0, 0.9728783
9520.0, 0.9722396
9530.0, 0.97160226
9540.0, 0.9709659
9550.0, 0.97033054
9560.0, 0.96969616
9570.0, 0.9690628
9580.0, 0.96843064
9590.0, 0.96779937
9600.0, 0.9671692
9610.0, 0.96654004
9620.0, 0.9659119
9630.0, 0.96528494
9640.0, 0.9646589
9650.0, 0.9640339
9660.0, 0.9634099
9670.0, 0.96278673
9680.0, 0.96216494
9690.0, 0.9615439
9700.0, 0.960924
9710.0, 0.960305
9720.0, 0.959687
9730.0, 0.9590701
9740.0, 0.95845413
9750.0, 0.9578393
9760.0, 0.9572254
9770.0, 0.9566124
9780.0, 0.9560004
9790.0, 0.95538944
9800.0, 0.9547795
9810.0, 0.95417035
9820.0, 0.9535624
9830.0, 0.95295537
9840.0, 0.9523493
9850.0, 0.95174414
9860.0, 0.9511401
9870.0, 0.9505367
9880.0, 0.94993466
9890.0, 0.94933325
9900.0, 0.94873303
9910.0, 0.9481338
9920.0, 0.9475354
9930.0, 0.9469379
9940.0, 0.9463416
9950.0, 0.94574594
9960.0, 0.9451513
9970.0, 0.94455767
9980.0, 0.943965
9990.0, 0.9433732
10000.0, 0.94278246
10010.0, 0.94219244
10020.0, 0.94160354
10030.0, 0.9410155
10040.0, 0.9404283
10050.0, 0.93984216
10060.0, 0.93925685
10070.0, 0.9386726
10080.0, 0.9380892
10090.0, 0.9375067
10100.0, 0.936925
10110.0, 0.9363444
10120.0, 0.93576455
10130.0, 0.9351856
10140.0, 0.93460757
10150.0, 0.9340307
10160.0, 0.9334544
10170.0, 0.93287915
10180.0, 0.93230474
10190.0, 0.93173116
10200.0, 0.9311586
10210.0, 0.93058693
10220.0, 0.93001604
10230.0, 0.92944616
10240.0, 0.92887706
10250.0, 0.9283088
10260.0, 0.92774147
10270.0, 0.92717516
10280.0, 0.9266095
10290.0, 0.9260449
10300.0, 0.925481
10310.0, 0.9249179
10320.0, 0.924356
10330.0, 0.9237947
10340.0, 0.92323434
10350.0, 0.92267466
10360.0, 0.9221161
10370.0, 0.9215583
10380.0, 0.9210012
10390.0, 0.9204452
10400.0, 0.91988987
10410.0, 0.9193355
10420.0, 0.9187819
10430.0, 0.91822916
10440.0, 0.9176772
10450.0, 0.9171261
10460.0, 0.91657597
10470.0, 0.91602653
10480.0, 0.915478
10490.0, 0.9149303
10500.0, 0.91438335
10510.0, 0.91383713
10520.0, 0.91329193
10530.0, 0.91274756
10540.0, 0.91220385
10550.0, 0.911661
10560.0, 0.9111191
10570.0, 0.91057795
10580.0, 0.91003746
10590.0, 0.909498
10600.0, 0.90895927
10610.0, 0.9084213
10620.0, 0.9078842
10630.0, 0.90734786
10640.0, 0.90681225
10650.0, 0.90627754
10660.0, 0.90574354
10670.0, 0.9052104
10680.0, 0.9046779
10690.0, 0.9041464
10700.0, 0.9036156
10710.0, 0.9030856
10720.0, 0.9025565
10730.0, 0.90202796
10740.0, 0.90150034
10750.0, 0.9009735
10760.0, 0.90044737
10770.0, 0.899922
10780.0, 0.8993974
10790.0, 0.8988736
10800.0, 0.89835054
10810.0, 0.8978285
10820.0, 0.89730704
10830.0, 0.8967863
10840.0, 0.89626634
10850.0, 0.89574707
10860.0, 0.8952286
10870.0, 0.8947109
10880.0, 0.894194
10890.0, 0.8936778
10900.0, 0.89316237
10910.0, 0.89264774
10920.0, 0.89213395
10930.0, 0.89162076
10940.0, 0.8911082
10950.0, 0.8905965
10960.0, 0.89008564
10970.0, 0.8895754
10980.0, 0.88906604
10990.0, 0.8885573
11000.0, 0.8880492
11010.0, 0.88754207
11020.0, 0.8870355
11030.0, 0.88652974
11040.0, 0.8860245
11050.0, 0.88552016
11060.0, 0.88501656
11070.0, 0.8845138
11080.0, 0.8840116
11090.0, 0.8835102
11100.0, 0.8830093
11110.0, 0.8825093
11120.0, 0.88201
11130.0, 0.88151145
11140.0, 0.8810136
11150.0, 0.88051635
11160.0, 0.88001996
11170.0, 0.8795241
11180.0, 0.8790291
11190.0, 0.87853473
11200.0, 0.87804115
11210.0, 0.87754816
11220.0, 0.8770559
11230.0, 0.87656426
11240.0, 0.8760734
11250.0, 0.87558323
11260.0, 0.8750938
11270.0, 0.87460506
11280.0, 0.874117
11290.0, 0.87362957
11300.0, 0.8731429
11310.0, 0.8726568
11320.0, 0.87217146
11330.0, 0.8716867
11340.0, 0.87120277
11350.0, 0.8707196
11360.0, 0.87023693
11370.0, 0.86975497
11380.0, 0.8692737
11390.0, 0.8687929
11400.0, 0.868313
11410.0, 0.86783385
11420.0, 0.8673551
11430.0, 0.86687726
11440.0, 0.86640006
11450.0, 0.8659234
11460.0, 0.86544734
11470.0, 0.8649721
11480.0, 0.8644975
11490.0, 0.8640235
11500.0, 0.86355025
11510.0, 0.8630775
11520.0, 0.8626055
11530.0, 0.8621342
11540.0, 0.86166334
11550.0, 0.86119354
11560.0, 0.8607239
11570.0, 0.8602552
11580.0, 0.85978705
11590.0, 0.8593197
11600.0, 0.8588527
11610.0, 0.8583866
11620.0, 0.857921
11630.0, 0.85745615
11640.0, 0.8569918
11650.0, 0.8565281
11660.0, 0.8560652
11670.0, 0.855603
11680.0, 0.8551411
11690.0, 0.8546799
11700.0, 0.85421944
11710.0, 0.8537596
11720.0, 0.8533003
11730.0, 0.8528418
11740.0, 0.8523837
11750.0, 0.8519263
