Energy (in eV), SEEP yield of material CERS-withBUCT at isotropic incidence
   X,       Y
86600.0, 3.3076558
86800.0, 3.3093927
87000.0, 3.3111227
87200.0, 3.3128474
87400.0, 3.3145642
87600.0, 3.3162746
87800.0, 3.3179793
88000.0, 3.319677
88200.0, 3.3213682
88400.0, 3.3230531
88600.0, 3.3247325
88800.0, 3.3264046
89000.0, 3.3280704
89200.0, 3.32973
89400.0, 3.3313835
89600.0, 3.3330305
89800.0, 3.3346713
90000.0, 3.336306
90200.0, 3.3379347
90400.0, 3.3395572
90600.0, 3.341174
90800.0, 3.3427837
91000.0, 3.3443875
91200.0, 3.3459866
91400.0, 3.3475783
91600.0, 3.3491645
91800.0, 3.3507442
92000.0, 3.3523188
92200.0, 3.353887
92400.0, 3.3554494
92600.0, 3.357006
92800.0, 3.3585567
93000.0, 3.3601005
93200.0, 3.3616397
93400.0, 3.3631735
93600.0, 3.3647006
93800.0, 3.3662221
94000.0, 3.3677385
94200.0, 3.369249
94400.0, 3.3707533
94600.0, 3.3722527
94800.0, 3.3737454
95000.0, 3.3752337
95200.0, 3.3767154
95400.0, 3.3781924
95600.0, 3.3796632
95800.0, 3.3811288
96000.0, 3.3825889
96200.0, 3.3840435
96400.0, 3.3854926
96600.0, 3.3869367
96800.0, 3.3883748
97000.0, 3.3898082
97200.0, 3.3912356
97400.0, 3.3926575
97600.0, 3.3940744
97800.0, 3.3954864
98000.0, 3.3968928
98200.0, 3.398294
98400.0, 3.3996894
98600.0, 3.4010806
98800.0, 3.402466
99000.0, 3.4038465
99200.0, 3.4052212
99400.0, 3.4065912
99600.0, 3.407956
99800.0, 3.4093156
100000.0, 3.4106708
