Energy (in eV), backscattering yield of material CFRP-NASCAP at isotropic incidence
   X,       Y
5740.0, 0.25420207
5750.0, 0.25411838
5760.0, 0.25403482
5770.0, 0.2539514
5780.0, 0.25386813
5790.0, 0.253785
5800.0, 0.25370207
5810.0, 0.25361922
5820.0, 0.25353655
5830.0, 0.25345403
5840.0, 0.25337166
5850.0, 0.25328943
5860.0, 0.25320733
5870.0, 0.2531254
5880.0, 0.25304362
5890.0, 0.25296196
5900.0, 0.25288045
5910.0, 0.2527991
5920.0, 0.2527179
5930.0, 0.25263682
5940.0, 0.25255594
5950.0, 0.25247514
5960.0, 0.2523945
5970.0, 0.252314
5980.0, 0.25223365
5990.0, 0.25215346
6000.0, 0.2520734
6010.0, 0.2519935
6020.0, 0.2519137
6030.0, 0.2518341
6040.0, 0.25175458
6050.0, 0.25167525
6060.0, 0.25159606
6070.0, 0.25151697
6080.0, 0.25143805
6090.0, 0.25135925
6100.0, 0.25128064
6110.0, 0.25120214
6120.0, 0.25112376
6130.0, 0.25104555
6140.0, 0.25096747
6150.0, 0.25088954
6160.0, 0.25081173
6170.0, 0.25073406
6180.0, 0.25065655
6190.0, 0.25057918
6200.0, 0.25050193
6210.0, 0.2504248
6220.0, 0.25034785
6230.0, 0.25027102
6240.0, 0.2501943
6250.0, 0.25011778
6260.0, 0.25004134
6270.0, 0.24996509
6280.0, 0.24988893
6290.0, 0.24981292
6300.0, 0.24973705
6310.0, 0.24966131
6320.0, 0.2495857
6330.0, 0.24951024
6340.0, 0.24943493
6350.0, 0.24935974
6360.0, 0.24928467
6370.0, 0.24920976
6380.0, 0.24913496
6390.0, 0.2490603
6400.0, 0.24898578
6410.0, 0.2489114
6420.0, 0.24883714
6430.0, 0.24876301
6440.0, 0.24868904
6450.0, 0.24861518
6460.0, 0.24854146
6470.0, 0.24846786
6480.0, 0.24839441
6490.0, 0.24832109
6500.0, 0.2482479
6510.0, 0.24817483
6520.0, 0.24810192
6530.0, 0.24802911
6540.0, 0.24795644
6550.0, 0.2478839
6560.0, 0.24781151
6570.0, 0.24773923
6580.0, 0.24766707
6590.0, 0.24759507
6600.0, 0.24752317
6610.0, 0.24745142
6620.0, 0.2473798
6630.0, 0.24730828
6640.0, 0.24723692
6650.0, 0.2471657
6660.0, 0.24709457
6670.0, 0.2470236
6680.0, 0.24695274
6690.0, 0.246882
6700.0, 0.24681142
6710.0, 0.24674095
6720.0, 0.2466706
6730.0, 0.24660039
6740.0, 0.24653028
6750.0, 0.24646032
6760.0, 0.24639048
6770.0, 0.24632077
6780.0, 0.2462512
6790.0, 0.24618174
6800.0, 0.24611239
6810.0, 0.24604318
6820.0, 0.2459741
6830.0, 0.24590515
6840.0, 0.2458363
6850.0, 0.24576758
6860.0, 0.245699
6870.0, 0.24563053
6880.0, 0.24556221
6890.0, 0.24549398
6900.0, 0.24542588
6910.0, 0.24535793
6920.0, 0.24529007
6930.0, 0.24522234
6940.0, 0.24515474
6950.0, 0.24508727
6960.0, 0.24501991
6970.0, 0.24495268
6980.0, 0.24488558
6990.0, 0.2448186
7000.0, 0.24475172
7010.0, 0.24468498
7020.0, 0.24461834
7030.0, 0.24455184
7040.0, 0.24448545
7050.0, 0.24441919
7060.0, 0.24435304
7070.0, 0.24428701
7080.0, 0.2442211
7090.0, 0.24415532
7100.0, 0.24408965
7110.0, 0.24402413
7120.0, 0.24395868
7130.0, 0.24389337
7140.0, 0.24382818
7150.0, 0.2437631
7160.0, 0.24369815
7170.0, 0.24363331
7180.0, 0.2435686
7190.0, 0.243504
7200.0, 0.24343951
7210.0, 0.24337515
7220.0, 0.2433109
7230.0, 0.24324676
7240.0, 0.24318275
7250.0, 0.24311884
7260.0, 0.24305508
7270.0, 0.2429914
7280.0, 0.24292786
7290.0, 0.2428644
7300.0, 0.24280109
7310.0, 0.24273789
7320.0, 0.24267481
7330.0, 0.24261183
7340.0, 0.24254896
7350.0, 0.24248621
7360.0, 0.24242358
7370.0, 0.24236107
7380.0, 0.24229866
7390.0, 0.24223638
7400.0, 0.2421742
7410.0, 0.24211212
7420.0, 0.24205019
7430.0, 0.24198835
7440.0, 0.24192661
7450.0, 0.24186502
7460.0, 0.2418035
7470.0, 0.24174212
7480.0, 0.24168083
7490.0, 0.24161966
7500.0, 0.24155864
7510.0, 0.2414977
7520.0, 0.24143685
7530.0, 0.24137613
7540.0, 0.24131554
7550.0, 0.24125504
7560.0, 0.24119465
7570.0, 0.24113436
7580.0, 0.2410742
7590.0, 0.24101414
7600.0, 0.24095419
7610.0, 0.24089436
7620.0, 0.24083462
7630.0, 0.24077502
7640.0, 0.2407155
7650.0, 0.24065612
7660.0, 0.2405968
7670.0, 0.24053764
7680.0, 0.24047856
7690.0, 0.24041958
7700.0, 0.24036072
7710.0, 0.24030198
7720.0, 0.24024333
7730.0, 0.2401848
7740.0, 0.24012637
7750.0, 0.24006803
7760.0, 0.24000981
7770.0, 0.23995173
7780.0, 0.2398937
7790.0, 0.2398358
7800.0, 0.23977803
7810.0, 0.23972036
7820.0, 0.23966278
7830.0, 0.23960528
7840.0, 0.23954792
7850.0, 0.23949066
7860.0, 0.23943351
7870.0, 0.23937646
7880.0, 0.2393195
7890.0, 0.23926266
7900.0, 0.23920591
7910.0, 0.23914929
7920.0, 0.23909275
7930.0, 0.23903632
7940.0, 0.23898
7950.0, 0.23892379
7960.0, 0.23886766
7970.0, 0.23881166
7980.0, 0.23875572
7990.0, 0.23869993
8000.0, 0.23864421
