Energy (in eV), backscattering yield of material CFRP-NASCAP at incidence 40.0 degree
   X,       Y
6300.0, 0.16850533
6310.0, 0.16843054
6320.0, 0.16835588
6330.0, 0.16828136
6340.0, 0.16820699
6350.0, 0.16813275
6360.0, 0.16805865
6370.0, 0.1679847
6380.0, 0.16791086
6390.0, 0.16783717
6400.0, 0.16776362
6410.0, 0.16769022
6420.0, 0.16761695
6430.0, 0.1675438
6440.0, 0.1674708
6450.0, 0.16739793
6460.0, 0.1673252
6470.0, 0.16725262
6480.0, 0.16718015
6490.0, 0.16710782
6500.0, 0.16703564
6510.0, 0.16696359
6520.0, 0.16689166
6530.0, 0.16681989
6540.0, 0.16674823
6550.0, 0.16667672
6560.0, 0.16660534
6570.0, 0.16653408
6580.0, 0.16646296
6590.0, 0.16639198
6600.0, 0.16632113
6610.0, 0.16625041
6620.0, 0.16617982
6630.0, 0.16610937
6640.0, 0.16603905
6650.0, 0.16596885
6660.0, 0.1658988
6670.0, 0.16582885
6680.0, 0.16575906
6690.0, 0.1656894
6700.0, 0.16561985
6710.0, 0.16555046
6720.0, 0.16548117
6730.0, 0.16541202
6740.0, 0.165343
6750.0, 0.16527411
6760.0, 0.16520534
6770.0, 0.16513671
6780.0, 0.16506821
6790.0, 0.16499984
6800.0, 0.16493158
6810.0, 0.16486347
6820.0, 0.16479547
6830.0, 0.16472761
6840.0, 0.16465987
6850.0, 0.16459225
6860.0, 0.16452478
6870.0, 0.16445741
6880.0, 0.16439018
6890.0, 0.16432306
6900.0, 0.16425608
6910.0, 0.16418923
6920.0, 0.1641225
6930.0, 0.1640559
6940.0, 0.16398942
6950.0, 0.16392305
6960.0, 0.16385683
6970.0, 0.16379073
6980.0, 0.16372474
6990.0, 0.16365889
7000.0, 0.16359316
7010.0, 0.16352753
7020.0, 0.16346204
7030.0, 0.16339669
7040.0, 0.16333143
7050.0, 0.16326632
7060.0, 0.16320132
7070.0, 0.16313644
7080.0, 0.16307169
7090.0, 0.16300705
7100.0, 0.16294254
7110.0, 0.16287816
7120.0, 0.16281387
7130.0, 0.16274972
7140.0, 0.1626857
7150.0, 0.16262178
7160.0, 0.162558
7170.0, 0.16249433
7180.0, 0.16243078
7190.0, 0.16236734
7200.0, 0.16230404
7210.0, 0.16224085
7220.0, 0.16217777
7230.0, 0.16211481
7240.0, 0.16205198
7250.0, 0.16198926
7260.0, 0.16192666
7270.0, 0.16186418
7280.0, 0.16180182
7290.0, 0.16173957
7300.0, 0.16167744
7310.0, 0.16161542
7320.0, 0.16155353
7330.0, 0.16149175
7340.0, 0.16143008
7350.0, 0.16136853
7360.0, 0.1613071
7370.0, 0.1612458
7380.0, 0.16118458
7390.0, 0.16112348
7400.0, 0.16106252
7410.0, 0.16100167
7420.0, 0.16094093
7430.0, 0.1608803
7440.0, 0.16081978
7450.0, 0.16075939
7460.0, 0.1606991
7470.0, 0.16063891
7480.0, 0.16057886
7490.0, 0.16051891
7500.0, 0.16045909
7510.0, 0.16039936
7520.0, 0.16033976
7530.0, 0.16028027
7540.0, 0.16022088
7550.0, 0.16016161
7560.0, 0.16010246
7570.0, 0.1600434
7580.0, 0.15998447
7590.0, 0.15992564
7600.0, 0.15986693
7610.0, 0.15980832
7620.0, 0.15974984
7630.0, 0.15969144
7640.0, 0.15963317
7650.0, 0.15957502
7660.0, 0.15951696
7670.0, 0.15945902
7680.0, 0.15940118
7690.0, 0.15934345
7700.0, 0.15928584
7710.0, 0.15922834
7720.0, 0.15917094
7730.0, 0.15911365
7740.0, 0.15905647
7750.0, 0.15899938
7760.0, 0.15894243
7770.0, 0.15888557
7780.0, 0.15882881
7790.0, 0.15877217
7800.0, 0.15871564
7810.0, 0.1586592
7820.0, 0.15860288
7830.0, 0.15854666
7840.0, 0.15849055
7850.0, 0.15843454
7860.0, 0.15837865
7870.0, 0.15832286
7880.0, 0.15826717
7890.0, 0.15821159
7900.0, 0.15815611
7910.0, 0.15810074
7920.0, 0.15804547
7930.0, 0.1579903
7940.0, 0.15793525
7950.0, 0.15788029
7960.0, 0.15782544
7970.0, 0.1577707
7980.0, 0.15771605
7990.0, 0.15766151
8000.0, 0.15760706
8010.0, 0.15755273
8020.0, 0.15749851
8030.0, 0.15744439
8040.0, 0.15739036
8050.0, 0.15733643
8060.0, 0.1572826
8070.0, 0.15722889
8080.0, 0.15717529
8090.0, 0.15712176
8100.0, 0.15706836
8110.0, 0.15701504
8120.0, 0.15696181
8130.0, 0.1569087
8140.0, 0.1568557
8150.0, 0.15680279
8160.0, 0.15674998
8170.0, 0.15669727
8180.0, 0.15664466
8190.0, 0.15659215
8200.0, 0.15653974
8210.0, 0.15648742
8220.0, 0.15643522
8230.0, 0.1563831
8240.0, 0.15633109
8250.0, 0.15627918
8260.0, 0.15622735
8270.0, 0.15617564
8280.0, 0.15612401
8290.0, 0.1560725
8300.0, 0.15602106
8310.0, 0.15596974
8320.0, 0.15591851
8330.0, 0.15586737
8340.0, 0.15581635
8350.0, 0.1557654
8360.0, 0.15571456
8370.0, 0.1556638
8380.0, 0.15561315
8390.0, 0.15556261
8400.0, 0.15551215
8410.0, 0.1554618
8420.0, 0.15541153
8430.0, 0.15536135
8440.0, 0.15531129
8450.0, 0.1552613
8460.0, 0.15521142
8470.0, 0.15516162
8480.0, 0.15511192
8490.0, 0.15506233
8500.0, 0.15501282
8510.0, 0.1549634
8520.0, 0.1549141
8530.0, 0.15486486
8540.0, 0.15481573
8550.0, 0.1547667
8560.0, 0.15471776
8570.0, 0.1546689
8580.0, 0.15462014
8590.0, 0.15457147
8600.0, 0.1545229
8610.0, 0.15447442
8620.0, 0.15442604
8630.0, 0.15437773
8640.0, 0.15432952
8650.0, 0.15428141
8660.0, 0.1542334
8670.0, 0.15418546
8680.0, 0.15413763
8690.0, 0.15408988
8700.0, 0.15404221
8710.0, 0.15399465
8720.0, 0.15394717
8730.0, 0.1538998
8740.0, 0.1538525
8750.0, 0.1538053
8760.0, 0.15375818
8770.0, 0.15371116
8780.0, 0.15366422
8790.0, 0.15361737
8800.0, 0.1535706
8810.0, 0.15352395
8820.0, 0.15347737
8830.0, 0.15343088
8840.0, 0.15338448
8850.0, 0.15333816
8860.0, 0.15329194
8870.0, 0.1532458
8880.0, 0.15319975
8890.0, 0.15315379
8900.0, 0.15310791
8910.0, 0.15306213
8920.0, 0.15301643
8930.0, 0.15297082
8940.0, 0.1529253
8950.0, 0.15287986
8960.0, 0.1528345
8970.0, 0.15278925
8980.0, 0.15274407
8990.0, 0.15269898
9000.0, 0.15265396
9010.0, 0.15260905
9020.0, 0.15256421
9030.0, 0.15251946
9040.0, 0.15247479
9050.0, 0.15243022
9060.0, 0.15238573
9070.0, 0.15234132
9080.0, 0.15229699
9090.0, 0.15225276
9100.0, 0.15220861
9110.0, 0.15216453
9120.0, 0.15212055
9130.0, 0.15207665
9140.0, 0.15203282
9150.0, 0.1519891
9160.0, 0.15194544
9170.0, 0.15190189
9180.0, 0.15185839
9190.0, 0.151815
9200.0, 0.15177168
9210.0, 0.15172844
9220.0, 0.15168528
9230.0, 0.15164222
9240.0, 0.15159923
9250.0, 0.15155633
9260.0, 0.1515135
9270.0, 0.15147077
9280.0, 0.1514281
9290.0, 0.15138552
9300.0, 0.15134302
9310.0, 0.15130061
9320.0, 0.15125827
9330.0, 0.15121602
9340.0, 0.15117384
9350.0, 0.15113175
9360.0, 0.15108974
9370.0, 0.15104781
9380.0, 0.15100597
9390.0, 0.15096419
9400.0, 0.1509225
9410.0, 0.15088089
9420.0, 0.15083936
9430.0, 0.1507979
9440.0, 0.15075654
9450.0, 0.15071525
