Energy (in eV), SEEE yield of material CERS-NASCAP at isotropic incidence
   X,       Y
5540.0, 4.117301
5550.0, 4.1129417
5560.0, 4.108594
5570.0, 4.1042576
5580.0, 4.0999327
5590.0, 4.0956182
5600.0, 4.0913153
5610.0, 4.087023
5620.0, 4.0827417
5630.0, 4.078471
5640.0, 4.0742116
5650.0, 4.069963
5660.0, 4.0657253
5670.0, 4.0614977
5680.0, 4.0572815
5690.0, 4.0530763
5700.0, 4.048881
5710.0, 4.0446963
5720.0, 4.040523
5730.0, 4.0363593
5740.0, 4.032207
5750.0, 4.0280643
5760.0, 4.0239325
5770.0, 4.01981
5780.0, 4.015699
5790.0, 4.0115976
5800.0, 4.0075064
5810.0, 4.003426
5820.0, 3.9993556
5830.0, 3.9952953
5840.0, 3.9912443
5850.0, 3.9872038
5860.0, 3.9831736
5870.0, 3.979153
5880.0, 3.975143
5890.0, 3.9711423
5900.0, 3.967151
5910.0, 3.9631698
5920.0, 3.9591985
5930.0, 3.9552374
5940.0, 3.9512858
5950.0, 3.9473438
5960.0, 3.9434109
5970.0, 3.9394882
5980.0, 3.9355743
5990.0, 3.931671
6000.0, 3.9277763
6010.0, 3.9238915
6020.0, 3.920016
6030.0, 3.9161494
6040.0, 3.9122932
6050.0, 3.9084458
6060.0, 3.904607
6070.0, 3.900777
6080.0, 3.896958
6090.0, 3.8931468
6100.0, 3.8893456
6110.0, 3.8855536
6120.0, 3.88177
6130.0, 3.8779955
6140.0, 3.8742304
6150.0, 3.8704739
6160.0, 3.8667264
6170.0, 3.8629885
6180.0, 3.8592584
6190.0, 3.855538
6200.0, 3.851826
6210.0, 3.8481228
6220.0, 3.8444285
6230.0, 3.8407426
6240.0, 3.837066
6250.0, 3.8333964
6260.0, 3.8297367
6270.0, 3.8260858
6280.0, 3.8224432
6290.0, 3.8188093
6300.0, 3.815183
6310.0, 3.8115659
6320.0, 3.8079567
6330.0, 3.8043568
6340.0, 3.8007646
6350.0, 3.797181
6360.0, 3.7936053
6370.0, 3.7900386
6380.0, 3.7864792
6390.0, 3.7829292
6400.0, 3.7793858
6410.0, 3.7758522
6420.0, 3.7723255
6430.0, 3.7688076
6440.0, 3.7652977
6450.0, 3.7617958
6460.0, 3.7583017
6470.0, 3.754816
6480.0, 3.7513373
6490.0, 3.7478676
6500.0, 3.7444053
6510.0, 3.7409508
6520.0, 3.7375047
6530.0, 3.7340658
6540.0, 3.7306352
6550.0, 3.727212
6560.0, 3.7237968
6570.0, 3.720389
6580.0, 3.7169888
6590.0, 3.7135966
6600.0, 3.7102122
6610.0, 3.706835
6620.0, 3.7034655
6630.0, 3.7001035
6640.0, 3.6967483
6650.0, 3.6934013
6660.0, 3.690062
6670.0, 3.6867301
6680.0, 3.6834054
6690.0, 3.680088
6700.0, 3.6767788
6710.0, 3.6734757
6720.0, 3.6701806
6730.0, 3.6668925
6740.0, 3.6636121
6750.0, 3.6603384
6760.0, 3.6570718
6770.0, 3.6538136
6780.0, 3.6505613
6790.0, 3.6473167
6800.0, 3.6440794
6810.0, 3.6408489
6820.0, 3.6376255
6830.0, 3.6344092
6840.0, 3.6311996
6850.0, 3.6279974
6860.0, 3.624802
6870.0, 3.6216137
6880.0, 3.618432
6890.0, 3.6152575
6900.0, 3.6120899
6910.0, 3.608929
6920.0, 3.6057749
6930.0, 3.602628
6940.0, 3.5994873
6950.0, 3.5963535
6960.0, 3.593227
6970.0, 3.5901065
6980.0, 3.5869927
6990.0, 3.5838861
7000.0, 3.580786
7010.0, 3.5776925
7020.0, 3.5746057
7030.0, 3.571525
7040.0, 3.5684516
7050.0, 3.565384
7060.0, 3.5623236
7070.0, 3.559269
7080.0, 3.5562217
7090.0, 3.55318
7100.0, 3.5501456
7110.0, 3.5471168
7120.0, 3.5440946
7130.0, 3.541079
7140.0, 3.53807
7150.0, 3.5350666
7160.0, 3.5320702
7170.0, 3.5290797
7180.0, 3.5260954
7190.0, 3.5231173
7200.0, 3.520146
7210.0, 3.5171804
7220.0, 3.5142207
7230.0, 3.5112674
7240.0, 3.5083206
7250.0, 3.5053797
7260.0, 3.502445
7270.0, 3.4995167
7280.0, 3.4965937
7290.0, 3.4936774
7300.0, 3.4907668
7310.0, 3.487862
7320.0, 3.4849637
7330.0, 3.4820712
7340.0, 3.4791844
7350.0, 3.4763043
7360.0, 3.473429
7370.0, 3.47056
7380.0, 3.4676971
7390.0, 3.46484
7400.0, 3.4619882
7410.0, 3.4591434
7420.0, 3.4563036
7430.0, 3.4534695
7440.0, 3.4506412
7450.0, 3.4478188
7460.0, 3.4450023
7470.0, 3.442191
7480.0, 3.4393857
7490.0, 3.4365864
7500.0, 3.4337924
7510.0, 3.4310038
7520.0, 3.4282207
7530.0, 3.4254441
7540.0, 3.4226723
7550.0, 3.4199064
7560.0, 3.4171457
7570.0, 3.4143908
7580.0, 3.4116418
7590.0, 3.4088974
7600.0, 3.4061594
7610.0, 3.4034264
7620.0, 3.4006987
7630.0, 3.3979766
7640.0, 3.3952594
7650.0, 3.3925486
7660.0, 3.389843
7670.0, 3.3871422
7680.0, 3.3844466
7690.0, 3.3817568
7700.0, 3.379072
7710.0, 3.3763926
7720.0, 3.373719
7730.0, 3.3710504
7740.0, 3.3683867
7750.0, 3.3657286
7760.0, 3.3630753
7770.0, 3.3604276
7780.0, 3.3577843
7790.0, 3.3551466
7800.0, 3.3525143
7810.0, 3.3498871
7820.0, 3.3472648
7830.0, 3.3446476
7840.0, 3.3420353
7850.0, 3.3394291
7860.0, 3.3368268
7870.0, 3.33423
7880.0, 3.3316383
7890.0, 3.3290517
7900.0, 3.3264701
7910.0, 3.3238933
7920.0, 3.3213208
7930.0, 3.3187544
7940.0, 3.3161922
7950.0, 3.3136353
7960.0, 3.311083
7970.0, 3.3085356
7980.0, 3.305993
7990.0, 3.3034556
8000.0, 3.3009224
8010.0, 3.2983944
8020.0, 3.295872
8030.0, 3.2933538
8040.0, 3.2908404
8050.0, 3.2883315
8060.0, 3.2858274
8070.0, 3.2833285
8080.0, 3.2808337
8090.0, 3.278344
8100.0, 3.2758589
8110.0, 3.273379
8120.0, 3.2709029
8130.0, 3.2684314
8140.0, 3.2659652
8150.0, 3.2635038
8160.0, 3.2610462
8170.0, 3.2585938
8180.0, 3.256146
8190.0, 3.2537024
8200.0, 3.251264
8210.0, 3.2488296
8220.0, 3.2464
8230.0, 3.2439747
8240.0, 3.2415538
8250.0, 3.2391376
8260.0, 3.2367258
8270.0, 3.2343187
8280.0, 3.231916
8290.0, 3.2295175
8300.0, 3.2271237
8310.0, 3.2247338
8320.0, 3.2223496
8330.0, 3.2199683
8340.0, 3.217592
8350.0, 3.21522
8360.0, 3.212852
8370.0, 3.210489
8380.0, 3.20813
8390.0, 3.2057757
8400.0, 3.2034252
8410.0, 3.2010796
8420.0, 3.1987376
8430.0, 3.1964002
8440.0, 3.194067
8450.0, 3.191738
8460.0, 3.189413
8470.0, 3.1870928
8480.0, 3.184776
8490.0, 3.1824646
8500.0, 3.1801562
8510.0, 3.1778526
8520.0, 3.1755528
8530.0, 3.1732574
8540.0, 3.1709664
8550.0, 3.1686788
8560.0, 3.166396
8570.0, 3.1641169
8580.0, 3.1618423
8590.0, 3.1595716
8600.0, 3.1573043
8610.0, 3.1550424
8620.0, 3.1527832
8630.0, 3.1505287
8640.0, 3.1482782
8650.0, 3.1460319
8660.0, 3.1437893
8670.0, 3.14155
8680.0, 3.1393156
8690.0, 3.1370852
8700.0, 3.1348586
8710.0, 3.1326358
8720.0, 3.1304166
8730.0, 3.1282024
8740.0, 3.1259909
8750.0, 3.1237838
8760.0, 3.1215806
8770.0, 3.1193807
8780.0, 3.117186
8790.0, 3.1149943
8800.0, 3.1128063
8810.0, 3.1106226
8820.0, 3.1084423
8830.0, 3.1062663
8840.0, 3.1040936
8850.0, 3.101925
8860.0, 3.09976
8870.0, 3.0975988
8880.0, 3.0954413
8890.0, 3.0932875
8900.0, 3.091138
8910.0, 3.0889919
8920.0, 3.086849
8930.0, 3.0847101
8940.0, 3.0825756
8950.0, 3.0804439
8960.0, 3.0783157
8970.0, 3.0761924
8980.0, 3.074072
8990.0, 3.0719552
9000.0, 3.069842
9010.0, 3.0677323
9020.0, 3.0656266
9030.0, 3.0635247
9040.0, 3.0614254
9050.0, 3.0593312
