Energy (in eV), SEEP yield of material CFRP-NASCAP at incidence 0.0 degree
   X,       Y
86200.0, 2.357531
86400.0, 2.3581324
86600.0, 2.3587294
86800.0, 2.3593223
87000.0, 2.3599107
87200.0, 2.3604953
87400.0, 2.3610754
87600.0, 2.3616517
87800.0, 2.3622239
88000.0, 2.3627915
88200.0, 2.3633556
88400.0, 2.363915
88600.0, 2.3644712
88800.0, 2.365023
89000.0, 2.3655708
89200.0, 2.3661144
89400.0, 2.3666544
89600.0, 2.3671906
89800.0, 2.3677225
90000.0, 2.3682506
90200.0, 2.368775
90400.0, 2.3692956
90600.0, 2.3698125
90800.0, 2.370325
91000.0, 2.370834
91200.0, 2.3713398
91400.0, 2.3718412
91600.0, 2.3723392
91800.0, 2.3728333
92000.0, 2.373324
92200.0, 2.3738108
92400.0, 2.3742938
92600.0, 2.3747733
92800.0, 2.3752491
93000.0, 2.3757217
93200.0, 2.3761907
93400.0, 2.3766558
93600.0, 2.3771174
93800.0, 2.3775754
94000.0, 2.3780303
94200.0, 2.3784816
94400.0, 2.3789294
94600.0, 2.3793736
94800.0, 2.3798144
95000.0, 2.380252
95200.0, 2.3806858
95400.0, 2.3811166
95600.0, 2.3815439
95800.0, 2.3819678
96000.0, 2.3823886
96200.0, 2.3828058
96400.0, 2.38322
96600.0, 2.3836305
96800.0, 2.3840382
97000.0, 2.3844426
97200.0, 2.3848433
97400.0, 2.385241
97600.0, 2.3856359
97800.0, 2.386027
98000.0, 2.3864155
98200.0, 2.3868005
98400.0, 2.3871827
98600.0, 2.3875616
98800.0, 2.3879373
99000.0, 2.38831
99200.0, 2.3886797
99400.0, 2.3890462
99600.0, 2.3894098
99800.0, 2.38977
100000.0, 2.3901274
