Energy (in eV), SEEE yield of material CFRP-NASCAP at isotropic incidence
   X,       Y
5820.0, 0.40082917
5830.0, 0.40036198
5840.0, 0.39989585
5850.0, 0.39943102
5860.0, 0.39896724
5870.0, 0.39850464
5880.0, 0.39804327
5890.0, 0.39758298
5900.0, 0.39712378
5910.0, 0.3966658
5920.0, 0.39620888
5930.0, 0.39575312
5940.0, 0.39529848
5950.0, 0.39484504
5960.0, 0.39439258
5970.0, 0.39394128
5980.0, 0.39349106
5990.0, 0.39304206
6000.0, 0.3925941
6010.0, 0.39214712
6020.0, 0.39170137
6030.0, 0.39125663
6040.0, 0.39081302
6050.0, 0.39037037
6060.0, 0.38992897
6070.0, 0.38948852
6080.0, 0.3890492
6090.0, 0.38861093
6100.0, 0.38817373
6110.0, 0.3877375
6120.0, 0.38730243
6130.0, 0.38686833
6140.0, 0.38643527
6150.0, 0.38600326
6160.0, 0.38557234
6170.0, 0.3851424
6180.0, 0.3847135
6190.0, 0.3842856
6200.0, 0.38385877
6210.0, 0.38343284
6220.0, 0.38300803
6230.0, 0.38258424
6240.0, 0.38216138
6250.0, 0.3817396
6260.0, 0.38131872
6270.0, 0.38089886
6280.0, 0.38048002
6290.0, 0.38006225
6300.0, 0.37964535
6310.0, 0.37922943
6320.0, 0.37881452
6330.0, 0.37840056
6340.0, 0.3779876
6350.0, 0.3775756
6360.0, 0.37716448
6370.0, 0.37675443
6380.0, 0.37634528
6390.0, 0.37593716
6400.0, 0.3755299
6410.0, 0.37512365
6420.0, 0.37471828
6430.0, 0.3743138
6440.0, 0.37391034
6450.0, 0.3735078
6460.0, 0.37310615
6470.0, 0.3727055
6480.0, 0.37230572
6490.0, 0.37190688
6500.0, 0.37150896
6510.0, 0.3711119
6520.0, 0.3707158
6530.0, 0.37032056
6540.0, 0.36992624
6550.0, 0.36953282
6560.0, 0.36914036
6570.0, 0.3687487
6580.0, 0.368358
6590.0, 0.3679681
6600.0, 0.36757913
6610.0, 0.36719105
6620.0, 0.3668039
6630.0, 0.36641753
6640.0, 0.36603212
6650.0, 0.3656475
6660.0, 0.3652637
6670.0, 0.36488086
6680.0, 0.36449888
6690.0, 0.3641177
6700.0, 0.36373746
6710.0, 0.36335802
6720.0, 0.36297938
6730.0, 0.36260164
6740.0, 0.36222473
6750.0, 0.36184865
6760.0, 0.3614734
6770.0, 0.361099
6780.0, 0.36072543
6790.0, 0.3603527
6800.0, 0.35998076
6810.0, 0.3596097
6820.0, 0.35923937
6830.0, 0.3588699
6840.0, 0.3585013
6850.0, 0.35813344
6860.0, 0.3577664
6870.0, 0.35740012
6880.0, 0.3570347
6890.0, 0.3566701
6900.0, 0.35630628
