Energy (in eV), SEEE yield of material ITOC-NASCAP at isotropic incidence
   X,       Y
5380.0, 1.4679985
5390.0, 1.466479
5400.0, 1.4649632
5410.0, 1.4634519
5420.0, 1.4619445
5430.0, 1.4604414
5440.0, 1.4589423
5450.0, 1.4574472
5460.0, 1.4559563
5470.0, 1.4544692
5480.0, 1.4529862
5490.0, 1.4515073
5500.0, 1.4500324
5510.0, 1.4485615
5520.0, 1.4470942
5530.0, 1.445631
5540.0, 1.4441719
5550.0, 1.4427166
5560.0, 1.441265
5570.0, 1.4398175
5580.0, 1.4383738
5590.0, 1.4369338
5600.0, 1.4354976
5610.0, 1.4340652
5620.0, 1.4326367
5630.0, 1.4312117
5640.0, 1.429791
5650.0, 1.4283736
5660.0, 1.42696
5670.0, 1.42555
5680.0, 1.4241439
5690.0, 1.4227413
5700.0, 1.4213425
5710.0, 1.419947
5720.0, 1.4185551
5730.0, 1.4171672
5740.0, 1.4157827
5750.0, 1.4144019
5760.0, 1.4130245
5770.0, 1.4116508
5780.0, 1.4102806
5790.0, 1.4089139
5800.0, 1.4075506
5810.0, 1.4061908
5820.0, 1.4048344
5830.0, 1.4034816
5840.0, 1.4021324
5850.0, 1.4007863
5860.0, 1.3994439
5870.0, 1.3981047
5880.0, 1.3967692
5890.0, 1.3954369
5900.0, 1.3941076
5910.0, 1.3927819
5920.0, 1.3914597
5930.0, 1.3901408
5940.0, 1.3888248
5950.0, 1.3875126
5960.0, 1.3862035
5970.0, 1.3848976
5980.0, 1.383595
5990.0, 1.3822957
6000.0, 1.3809994
6010.0, 1.3797066
6020.0, 1.3784168
6030.0, 1.3771305
6040.0, 1.3758469
6050.0, 1.3745669
6060.0, 1.3732898
6070.0, 1.3720161
6080.0, 1.3707451
6090.0, 1.3694776
6100.0, 1.3682129
6110.0, 1.3669515
6120.0, 1.3656932
6130.0, 1.3644377
6140.0, 1.3631856
6150.0, 1.3619365
6160.0, 1.3606901
6170.0, 1.359447
6180.0, 1.3582069
6190.0, 1.3569698
6200.0, 1.3557355
6210.0, 1.3545042
6220.0, 1.353276
6230.0, 1.3520505
6240.0, 1.3508282
6250.0, 1.3496089
6260.0, 1.3483921
6270.0, 1.3471786
6280.0, 1.345968
6290.0, 1.34476
6300.0, 1.3435549
6310.0, 1.3423526
6320.0, 1.3411535
6330.0, 1.339957
6340.0, 1.3387634
6350.0, 1.3375726
6360.0, 1.3363847
6370.0, 1.3351995
6380.0, 1.334017
6390.0, 1.3328372
6400.0, 1.3316603
6410.0, 1.3304859
6420.0, 1.3293147
6430.0, 1.3281461
6440.0, 1.3269802
6450.0, 1.3258169
6460.0, 1.3246565
6470.0, 1.3234987
6480.0, 1.3223433
6490.0, 1.3211907
6500.0, 1.320041
6510.0, 1.3188937
6520.0, 1.317749
6530.0, 1.316607
6540.0, 1.315468
6550.0, 1.3143312
6560.0, 1.3131971
6570.0, 1.3120656
6580.0, 1.3109368
6590.0, 1.3098102
6600.0, 1.3086864
6610.0, 1.3075651
6620.0, 1.3064466
6630.0, 1.3053304
6640.0, 1.3042169
6650.0, 1.3031057
6660.0, 1.3019971
6670.0, 1.300891
6680.0, 1.2997875
6690.0, 1.2986861
6700.0, 1.2975874
6710.0, 1.2964911
6720.0, 1.2953974
6730.0, 1.2943062
6740.0, 1.2932173
6750.0, 1.2921311
6760.0, 1.2910469
6770.0, 1.289965
6780.0, 1.2888858
6790.0, 1.2878093
6800.0, 1.2867347
6810.0, 1.2856627
6820.0, 1.2845929
6830.0, 1.2835257
6840.0, 1.2824606
6850.0, 1.2813979
6860.0, 1.2803377
6870.0, 1.2792796
6880.0, 1.2782238
6890.0, 1.2771707
6900.0, 1.2761194
6910.0, 1.2750707
6920.0, 1.2740241
6930.0, 1.27298
6940.0, 1.2719378
6950.0, 1.2708982
6960.0, 1.2698607
6970.0, 1.2688258
6980.0, 1.2677925
6990.0, 1.2667618
7000.0, 1.2657332
7010.0, 1.2647071
7020.0, 1.2636828
7030.0, 1.262661
7040.0, 1.2616414
7050.0, 1.2606238
7060.0, 1.2596085
7070.0, 1.2585952
7080.0, 1.2575843
7090.0, 1.2565753
7100.0, 1.2555687
7110.0, 1.2545639
7120.0, 1.2535616
7130.0, 1.2525612
7140.0, 1.2515631
7150.0, 1.2505671
7160.0, 1.249573
7170.0, 1.248581
7180.0, 1.2475911
7190.0, 1.2466034
7200.0, 1.2456176
7210.0, 1.2446342
7220.0, 1.2436526
7230.0, 1.2426732
7240.0, 1.2416955
7250.0, 1.2407203
7260.0, 1.2397468
7270.0, 1.2387754
7280.0, 1.2378061
7290.0, 1.2368388
7300.0, 1.2358733
7310.0, 1.2349101
7320.0, 1.2339486
7330.0, 1.2329895
7340.0, 1.2320322
7350.0, 1.2310767
7360.0, 1.2301233
7370.0, 1.2291719
7380.0, 1.228222
7390.0, 1.2272747
7400.0, 1.226329
7410.0, 1.2253852
7420.0, 1.2244434
7430.0, 1.2235035
7440.0, 1.2225655
7450.0, 1.2216296
7460.0, 1.2206955
7470.0, 1.219763
7480.0, 1.2188327
7490.0, 1.2179042
7500.0, 1.2169776
7510.0, 1.2160529
7520.0, 1.21513
7530.0, 1.214209
7540.0, 1.2132897
7550.0, 1.2123724
7560.0, 1.2114569
7570.0, 1.2105433
7580.0, 1.2096313
7590.0, 1.2087216
7600.0, 1.2078133
7610.0, 1.2069068
7620.0, 1.2060024
7630.0, 1.2050995
7640.0, 1.2041986
7650.0, 1.2032994
7660.0, 1.202402
7670.0, 1.2015063
7680.0, 1.2006124
7690.0, 1.1997204
7700.0, 1.1988299
7710.0, 1.1979414
7720.0, 1.1970545
7730.0, 1.1961695
7740.0, 1.195286
7750.0, 1.1944044
7760.0, 1.1935244
7770.0, 1.1926463
7780.0, 1.1917697
7790.0, 1.1908948
7800.0, 1.1900219
7810.0, 1.1891505
7820.0, 1.1882808
7830.0, 1.1874127
7840.0, 1.1865464
7850.0, 1.1856818
7860.0, 1.1848189
7870.0, 1.1839577
7880.0, 1.183098
7890.0, 1.18224
7900.0, 1.1813836
7910.0, 1.1805289
7920.0, 1.1796758
7930.0, 1.1788245
7940.0, 1.1779746
7950.0, 1.1771265
7960.0, 1.1762799
7970.0, 1.1754351
7980.0, 1.1745919
7990.0, 1.1737502
8000.0, 1.17291
8010.0, 1.1720713
8020.0, 1.1712346
8030.0, 1.1703993
8040.0, 1.1695654
8050.0, 1.168733
8060.0, 1.1679026
8070.0, 1.1670736
8080.0, 1.166246
8090.0, 1.1654203
8100.0, 1.1645958
8110.0, 1.1637732
8120.0, 1.1629517
8130.0, 1.162132
8140.0, 1.1613138
8150.0, 1.160497
8160.0, 1.1596819
8170.0, 1.1588682
8180.0, 1.1580561
8190.0, 1.1572455
8200.0, 1.1564364
8210.0, 1.1556289
8220.0, 1.1548227
8230.0, 1.1540183
8240.0, 1.1532149
8250.0, 1.1524134
8260.0, 1.1516131
8270.0, 1.1508144
8280.0, 1.1500173
8290.0, 1.1492215
8300.0, 1.1484271
8310.0, 1.1476344
8320.0, 1.1468431
8330.0, 1.1460531
8340.0, 1.1452645
8350.0, 1.1444775
8360.0, 1.143692
8370.0, 1.1429077
8380.0, 1.1421249
8390.0, 1.1413436
8400.0, 1.1405638
8410.0, 1.1397852
8420.0, 1.139008
8430.0, 1.1382325
8440.0, 1.1374582
8450.0, 1.1366854
8460.0, 1.1359137
8470.0, 1.1351438
8480.0, 1.1343749
8490.0, 1.1336077
8500.0, 1.1328417
8510.0, 1.132077
8520.0, 1.1313139
8530.0, 1.1305519
8540.0, 1.1297914
8550.0, 1.1290324
8560.0, 1.1282746
8570.0, 1.1275183
8580.0, 1.1267631
8590.0, 1.1260095
8600.0, 1.1252571
8610.0, 1.124506
8620.0, 1.1237562
8630.0, 1.1230079
8640.0, 1.1222608
8650.0, 1.1215149
8660.0, 1.1207705
8670.0, 1.1200274
8680.0, 1.1192856
8690.0, 1.1185452
8700.0, 1.1178057
8710.0, 1.117068
8720.0, 1.1163312
8730.0, 1.1155958
8740.0, 1.114862
8750.0, 1.1141291
8760.0, 1.1133975
8770.0, 1.1126673
8780.0, 1.1119385
8790.0, 1.1112108
8800.0, 1.1104842
8810.0, 1.1097591
8820.0, 1.1090354
8830.0, 1.1083126
8840.0, 1.1075913
8850.0, 1.1068712
8860.0, 1.1061523
8870.0, 1.1054345
8880.0, 1.104718
8890.0, 1.1040031
8900.0, 1.1032891
8910.0, 1.1025761
8920.0, 1.1018648
8930.0, 1.1011543
8940.0, 1.1004454
8950.0, 1.0997374
8960.0, 1.0990309
8970.0, 1.0983255
8980.0, 1.0976211
8990.0, 1.0969181
9000.0, 1.0962163
9010.0, 1.0955155
9020.0, 1.0948161
9030.0, 1.0941179
9040.0, 1.0934206
9050.0, 1.0927247
9060.0, 1.0920299
9070.0, 1.0913364
9080.0, 1.090644
9090.0, 1.0899527
9100.0, 1.0892626
9110.0, 1.0885739
