Energy (in eV), backscattering yield of material CFRP-NASCAP at incidence 60.0 degree
   X,       Y
7620.0, 0.30205268
7630.0, 0.3019806
7640.0, 0.30190867
7650.0, 0.30183688
7660.0, 0.3017652
7670.0, 0.30169365
7680.0, 0.30162224
7690.0, 0.30155092
7700.0, 0.30147976
7710.0, 0.3014087
7720.0, 0.30133778
7730.0, 0.301267
7740.0, 0.30119634
7750.0, 0.30112576
7760.0, 0.30105537
7770.0, 0.30098507
7780.0, 0.30091488
7790.0, 0.30084482
7800.0, 0.3007749
7810.0, 0.3007051
7820.0, 0.30063543
7830.0, 0.30056587
7840.0, 0.30049643
7850.0, 0.3004271
7860.0, 0.30035794
7870.0, 0.30028886
7880.0, 0.30021992
7890.0, 0.3001511
7900.0, 0.3000824
7910.0, 0.3000138
7920.0, 0.29994535
7930.0, 0.29987702
7940.0, 0.2998088
7950.0, 0.29974073
7960.0, 0.29967275
7970.0, 0.2996049
7980.0, 0.29953715
7990.0, 0.29946956
8000.0, 0.29940206
8010.0, 0.29933468
8020.0, 0.2992674
8030.0, 0.2992003
8040.0, 0.29913327
8050.0, 0.29906636
8060.0, 0.2989996
8070.0, 0.29893294
8080.0, 0.2988664
8090.0, 0.29879996
8100.0, 0.29873368
8110.0, 0.2986675
8120.0, 0.29860142
8130.0, 0.29853547
8140.0, 0.29846963
8150.0, 0.29840392
8160.0, 0.2983383
8170.0, 0.29827282
8180.0, 0.29820746
8190.0, 0.29814222
8200.0, 0.29807708
8210.0, 0.29801205
8220.0, 0.29794714
8230.0, 0.29788235
8240.0, 0.29781768
8250.0, 0.29775313
8260.0, 0.2976887
8270.0, 0.29762438
8280.0, 0.29756016
8290.0, 0.29749605
8300.0, 0.29743207
8310.0, 0.2973682
8320.0, 0.29730445
8330.0, 0.2972408
8340.0, 0.29717728
8350.0, 0.29711387
8360.0, 0.29705054
8370.0, 0.29698735
8380.0, 0.2969243
8390.0, 0.29686132
8400.0, 0.29679847
8410.0, 0.29673573
8420.0, 0.29667312
8430.0, 0.2966106
8440.0, 0.2965482
8450.0, 0.2964859
8460.0, 0.2964237
8470.0, 0.29636165
8480.0, 0.2962997
8490.0, 0.29623786
8500.0, 0.2961761
8510.0, 0.29611447
8520.0, 0.29605296
8530.0, 0.29599157
8540.0, 0.29593027
8550.0, 0.29586908
8560.0, 0.29580802
8570.0, 0.29574704
