Energy (in eV), backscattering yield of material CERS-NASCAP at incidence 70.0 degree
   X,       Y
7920.0, 0.49484068
7930.0, 0.4947864
7940.0, 0.49473226
7950.0, 0.49467817
7960.0, 0.4946242
7970.0, 0.4945703
7980.0, 0.49451652
7990.0, 0.49446285
8000.0, 0.49440923
8010.0, 0.49435574
8020.0, 0.49430236
8030.0, 0.49424902
8040.0, 0.49419582
8050.0, 0.4941427
8060.0, 0.4940897
8070.0, 0.49403676
8080.0, 0.49398392
8090.0, 0.49393117
8100.0, 0.49387854
8110.0, 0.493826
8120.0, 0.49377355
8130.0, 0.4937212
8140.0, 0.4936689
8150.0, 0.49361676
8160.0, 0.4935647
8170.0, 0.4935127
8180.0, 0.4934608
8190.0, 0.493409
8200.0, 0.4933573
8210.0, 0.49330568
8220.0, 0.49325418
8230.0, 0.49320275
8240.0, 0.4931514
8250.0, 0.49310017
8260.0, 0.49304903
8270.0, 0.49299797
8280.0, 0.492947
8290.0, 0.4928961
8300.0, 0.49284536
8310.0, 0.49279463
8320.0, 0.49274406
8330.0, 0.49269354
8340.0, 0.49264315
8350.0, 0.49259278
8360.0, 0.49254256
8370.0, 0.4924924
8380.0, 0.49244237
8390.0, 0.4923924
8400.0, 0.49234253
8410.0, 0.49229273
8420.0, 0.49224305
8430.0, 0.49219343
8440.0, 0.49214393
8450.0, 0.4920945
8460.0, 0.49204516
8470.0, 0.49199593
8480.0, 0.49194676
8490.0, 0.4918977
8500.0, 0.4918487
8510.0, 0.49179983
8520.0, 0.49175102
8530.0, 0.4917023
8540.0, 0.49165368
8550.0, 0.49160513
8560.0, 0.49155667
8570.0, 0.4915083
8580.0, 0.49146006
8590.0, 0.49141183
8600.0, 0.49136373
8610.0, 0.49131572
8620.0, 0.4912678
8630.0, 0.49121997
8640.0, 0.4911722
8650.0, 0.49112454
8660.0, 0.49107695
8670.0, 0.49102947
8680.0, 0.49098206
8690.0, 0.49093473
8700.0, 0.4908875
8710.0, 0.49084035
8720.0, 0.49079326
8730.0, 0.4907463
8740.0, 0.49069938
8750.0, 0.49065256
8760.0, 0.49060586
8770.0, 0.4905592
8780.0, 0.49051264
8790.0, 0.49046618
8800.0, 0.4904198
8810.0, 0.4903735
8820.0, 0.49032727
8830.0, 0.49028113
8840.0, 0.4902351
8850.0, 0.4901891
8860.0, 0.4901432
8870.0, 0.49009743
8880.0, 0.49005172
