Energy (in eV), SEEE yield of material al2k-NASCAP at isotropic incidence
   X,       Y
8710.0, 0.31413543
8720.0, 0.31387612
8730.0, 0.3136173
8740.0, 0.3133589
8750.0, 0.31310108
8760.0, 0.31284374
8770.0, 0.31258687
8780.0, 0.31233048
8790.0, 0.31207457
8800.0, 0.31181914
8810.0, 0.31156424
8820.0, 0.31130975
8830.0, 0.31105578
8840.0, 0.31080234
8850.0, 0.31054926
8860.0, 0.31029677
8870.0, 0.31004468
8880.0, 0.3097931
8890.0, 0.30954197
8900.0, 0.30929133
8910.0, 0.30904114
8920.0, 0.30879143
8930.0, 0.30854216
8940.0, 0.3082934
8950.0, 0.30804506
8960.0, 0.30779725
8970.0, 0.3075498
8980.0, 0.30730295
8990.0, 0.30705646
9000.0, 0.3068104
9010.0, 0.30656487
9020.0, 0.3063197
9030.0, 0.3060751
9040.0, 0.30583087
9050.0, 0.30558714
9060.0, 0.30534375
9070.0, 0.30510092
9080.0, 0.3048585
9090.0, 0.30461657
9100.0, 0.30437502
9110.0, 0.30413395
9120.0, 0.30389327
9130.0, 0.3036531
9140.0, 0.30341336
9150.0, 0.30317405
9160.0, 0.30293512
9170.0, 0.30269662
9180.0, 0.30245864
9190.0, 0.302221
9200.0, 0.30198392
9210.0, 0.30174714
9220.0, 0.30151087
9230.0, 0.301275
9240.0, 0.30103958
9250.0, 0.30080453
9260.0, 0.30056992
9270.0, 0.30033568
9280.0, 0.30010203
9290.0, 0.29986867
9300.0, 0.29963568
9310.0, 0.29940325
9320.0, 0.29917118
9330.0, 0.29893956
9340.0, 0.29870826
9350.0, 0.2984774
9360.0, 0.298247
9370.0, 0.298017
9380.0, 0.29778743
9390.0, 0.29755822
9400.0, 0.29732937
9410.0, 0.29710105
9420.0, 0.29687306
9430.0, 0.2966455
9440.0, 0.29641834
9450.0, 0.2961916
9460.0, 0.29596522
9470.0, 0.29573923
9480.0, 0.2955137
9490.0, 0.2952885
9500.0, 0.2950637
9510.0, 0.29483938
9520.0, 0.29461533
9530.0, 0.29439178
9540.0, 0.29416862
9550.0, 0.2939458
9560.0, 0.29372337
9570.0, 0.29350135
9580.0, 0.29327974
9590.0, 0.29305845
9600.0, 0.29283756
9610.0, 0.2926171
9620.0, 0.29239702
9630.0, 0.2921773
9640.0, 0.29195797
9650.0, 0.29173905
9660.0, 0.29152045
9670.0, 0.29130223
9680.0, 0.29108444
9690.0, 0.29086694
9700.0, 0.2906499
9710.0, 0.2904332
9720.0, 0.2902169
9730.0, 0.29000095
9740.0, 0.28978541
9750.0, 0.2895702
9760.0, 0.28935537
9770.0, 0.28914085
9780.0, 0.28892678
9790.0, 0.28871304
9800.0, 0.28849965
9810.0, 0.2882867
9820.0, 0.28807405
9830.0, 0.28786176
9840.0, 0.28764987
9850.0, 0.28743827
9860.0, 0.2872271
9870.0, 0.28701624
9880.0, 0.28680578
9890.0, 0.28659567
9900.0, 0.28638586
9910.0, 0.28617647
9920.0, 0.28596744
9930.0, 0.2857587
9940.0, 0.2855504
9950.0, 0.28534237
9960.0, 0.28513467
9970.0, 0.2849274
9980.0, 0.28472048
9990.0, 0.28451383
10000.0, 0.28430757
10010.0, 0.2841017
10020.0, 0.28389606
10030.0, 0.28369084
10040.0, 0.283486
10050.0, 0.28328142
10060.0, 0.28307724
10070.0, 0.28287336
10080.0, 0.28266987
10090.0, 0.28246668
10100.0, 0.28226382
10110.0, 0.28206134
10120.0, 0.28185916
10130.0, 0.2816573
10140.0, 0.2814558
10150.0, 0.28125462
10160.0, 0.2810538
10170.0, 0.2808533
10180.0, 0.2806531
10190.0, 0.28045326
10200.0, 0.28025374
10210.0, 0.28005457
10220.0, 0.2798557
10230.0, 0.27965716
10240.0, 0.27945894
10250.0, 0.27926108
10260.0, 0.2790635
10270.0, 0.27886623
10280.0, 0.2786694
10290.0, 0.27847275
10300.0, 0.2782765
10310.0, 0.27808052
10320.0, 0.2778849
10330.0, 0.2776896
10340.0, 0.2774946
10350.0, 0.27729988
10360.0, 0.2771055
10370.0, 0.27691144
10380.0, 0.27671772
10390.0, 0.2765243
10400.0, 0.27633125
10410.0, 0.27613845
10420.0, 0.2759459
10430.0, 0.2757537
10440.0, 0.2755619
10450.0, 0.2753703
10460.0, 0.27517906
10470.0, 0.27498809
10480.0, 0.27479747
10490.0, 0.27460712
10500.0, 0.27441707
10510.0, 0.27422735
10520.0, 0.27403796
10530.0, 0.27384886
10540.0, 0.27366
10550.0, 0.2734715
10560.0, 0.27328324
10570.0, 0.27309534
10580.0, 0.27290776
10590.0, 0.2727204
10600.0, 0.27253336
10610.0, 0.27234668
10620.0, 0.2721602
10630.0, 0.27197412
10640.0, 0.27178827
10650.0, 0.27160272
10660.0, 0.27141747
10670.0, 0.2712325
10680.0, 0.27104783
10690.0, 0.2708634
10700.0, 0.27067932
10710.0, 0.27049553
10720.0, 0.27031204
10730.0, 0.2701288
10740.0, 0.26994586
10750.0, 0.2697632
10760.0, 0.26958084
10770.0, 0.26939875
10780.0, 0.26921695
10790.0, 0.2690354
10800.0, 0.26885417
10810.0, 0.26867327
10820.0, 0.2684926
10830.0, 0.2683122
10840.0, 0.26813206
10850.0, 0.26795232
10860.0, 0.26777273
10870.0, 0.26759344
10880.0, 0.26741448
10890.0, 0.26723573
10900.0, 0.2670573
10910.0, 0.26687914
10920.0, 0.26670125
10930.0, 0.2665236
10940.0, 0.26634625
10950.0, 0.26616922
10960.0, 0.2659924
10970.0, 0.26581588
10980.0, 0.26563966
10990.0, 0.26546368
11000.0, 0.26528794
11010.0, 0.26511246
11020.0, 0.2649373
11030.0, 0.2647624
11040.0, 0.2645877
11050.0, 0.26441336
11060.0, 0.26423925
11070.0, 0.2640654
11080.0, 0.26389188
11090.0, 0.26371852
11100.0, 0.26354542
11110.0, 0.2633727
11120.0, 0.26320016
11130.0, 0.26302785
11140.0, 0.26285586
11150.0, 0.2626841
11160.0, 0.2625126
11170.0, 0.2623414
11180.0, 0.26217043
11190.0, 0.26199973
11200.0, 0.26182926
11210.0, 0.26165906
11220.0, 0.26148912
11230.0, 0.26131943
11240.0, 0.26114997
11250.0, 0.26098078
11260.0, 0.26081184
11270.0, 0.26064315
11280.0, 0.26047477
11290.0, 0.2603066
11300.0, 0.2601387
11310.0, 0.25997105
11320.0, 0.25980362
11330.0, 0.25963646
11340.0, 0.2594695
11350.0, 0.25930285
11360.0, 0.25913638
11370.0, 0.2589702
11380.0, 0.2588043
11390.0, 0.25863862
11400.0, 0.25847322
11410.0, 0.258308
11420.0, 0.25814304
11430.0, 0.25797832
11440.0, 0.25781387
11450.0, 0.2576496
11460.0, 0.25748566
11470.0, 0.25732192
11480.0, 0.25715846
11490.0, 0.2569951
11500.0, 0.2568321
11510.0, 0.25666937
11520.0, 0.25650683
11530.0, 0.2563445
11540.0, 0.25618243
11550.0, 0.25602064
11560.0, 0.25585902
11570.0, 0.25569764
11580.0, 0.25553653
11590.0, 0.25537562
11600.0, 0.25521496
11610.0, 0.25505456
11620.0, 0.2548944
11630.0, 0.2547344
11640.0, 0.25457466
