Energy (in eV), backscattering yield of material ITOC-TabulatedSEEE at isotropic incidence
   X,       Y
6600.0, 0.41762146
6610.0, 0.41756898
6620.0, 0.41751662
6630.0, 0.4174644
6640.0, 0.41741225
6650.0, 0.41736016
6660.0, 0.4173082
6670.0, 0.41725639
6680.0, 0.41720456
6690.0, 0.41715297
6700.0, 0.41710138
6710.0, 0.41704994
6720.0, 0.41699857
6730.0, 0.4169473
6740.0, 0.41689616
6750.0, 0.41684508
6760.0, 0.41679418
6770.0, 0.4167433
6780.0, 0.4166925
6790.0, 0.41664186
6800.0, 0.4165913
6810.0, 0.4165408
6820.0, 0.41649047
6830.0, 0.4164402
6840.0, 0.41638997
6850.0, 0.41633993
6860.0, 0.4162899
6870.0, 0.41624004
6880.0, 0.41619027
6890.0, 0.4161406
6900.0, 0.41609097
6910.0, 0.41604146
6920.0, 0.4159921
6930.0, 0.4159428
6940.0, 0.41589355
6950.0, 0.41584438
6960.0, 0.4157954
6970.0, 0.41574645
6980.0, 0.4156976
6990.0, 0.4156489
7000.0, 0.41560024
7010.0, 0.4155517
7020.0, 0.41550323
7030.0, 0.41545486
7040.0, 0.4154066
7050.0, 0.41535842
7060.0, 0.41531032
7070.0, 0.41526237
7080.0, 0.41521445
7090.0, 0.41516668
7100.0, 0.4151189
7110.0, 0.41507134
7120.0, 0.41502383
7130.0, 0.41497633
7140.0, 0.41492903
7150.0, 0.41488177
7160.0, 0.41483462
7170.0, 0.4147875
7180.0, 0.4147406
7190.0, 0.41469368
7200.0, 0.41464686
7210.0, 0.4146002
7220.0, 0.41455358
7230.0, 0.414507
7240.0, 0.4144606
7250.0, 0.4144143
7260.0, 0.414368
7270.0, 0.41432187
7280.0, 0.41427577
7290.0, 0.4142298
7300.0, 0.4141839
7310.0, 0.41413808
7320.0, 0.41409236
7330.0, 0.41404673
7340.0, 0.41400117
7350.0, 0.41395572
7360.0, 0.41391036
7370.0, 0.41386506
7380.0, 0.4138199
7390.0, 0.4137748
7400.0, 0.41372982
7410.0, 0.4136849
7420.0, 0.41364002
7430.0, 0.4135953
7440.0, 0.41355065
7450.0, 0.41350606
7460.0, 0.41346154
7470.0, 0.41341713
7480.0, 0.41337284
7490.0, 0.41332862
7500.0, 0.41328445
7510.0, 0.4132404
7520.0, 0.41319644
7530.0, 0.4131525
7540.0, 0.4131087
7550.0, 0.413065
7560.0, 0.41302133
7570.0, 0.41297784
7580.0, 0.41293433
7590.0, 0.41289094
7600.0, 0.41284767
7610.0, 0.41280445
7620.0, 0.4127613
7630.0, 0.4127183
7640.0, 0.41267535
7650.0, 0.41263247
7660.0, 0.41258964
7670.0, 0.41254693
7680.0, 0.41250432
7690.0, 0.4124618
7700.0, 0.41241932
7710.0, 0.41237688
7720.0, 0.41233462
7730.0, 0.41229236
7740.0, 0.41225028
7750.0, 0.41220817
7760.0, 0.41216627
7770.0, 0.41212434
7780.0, 0.41208252
7790.0, 0.41204083
7800.0, 0.4119992
7810.0, 0.4119576
7820.0, 0.4119161
7830.0, 0.41187468
7840.0, 0.4118334
7850.0, 0.4117922
7860.0, 0.41175097
7870.0, 0.4117099
7880.0, 0.41166893
7890.0, 0.411628
7900.0, 0.41158712
7910.0, 0.41154638
7920.0, 0.4115057
7930.0, 0.4114651
7940.0, 0.41142458
7950.0, 0.41138414
7960.0, 0.41134372
7970.0, 0.4113035
7980.0, 0.41126326
7990.0, 0.4112231
8000.0, 0.41118306
8010.0, 0.4111431
8020.0, 0.41110322
8030.0, 0.4110634
8040.0, 0.41102362
8050.0, 0.41098398
8060.0, 0.41094437
8070.0, 0.41090482
8080.0, 0.41086543
8090.0, 0.4108261
8100.0, 0.41078675
8110.0, 0.4107476
8120.0, 0.41070846
8130.0, 0.41066942
8140.0, 0.41063043
8150.0, 0.4105915
8160.0, 0.41055268
8170.0, 0.41051394
8180.0, 0.41047525
8190.0, 0.41043666
8200.0, 0.41039816
8210.0, 0.41035968
8220.0, 0.41032133
8230.0, 0.41028306
8240.0, 0.41024482
8250.0, 0.41020665
8260.0, 0.4101686
8270.0, 0.41013062
8280.0, 0.41009262
8290.0, 0.41005477
8300.0, 0.410017
8310.0, 0.40997928
8320.0, 0.40994167
8330.0, 0.40990415
8340.0, 0.40986663
8350.0, 0.40982923
8360.0, 0.4097919
8370.0, 0.40975463
8380.0, 0.4097174
8390.0, 0.40968034
8400.0, 0.40964326
8410.0, 0.40960625
8420.0, 0.40956938
8430.0, 0.40953252
8440.0, 0.40949577
8450.0, 0.40945908
8460.0, 0.40942252
8470.0, 0.40938595
8480.0, 0.40934944
8490.0, 0.40931305
8500.0, 0.40927672
8510.0, 0.40924045
8520.0, 0.40920427
8530.0, 0.40916815
8540.0, 0.40913212
8550.0, 0.40909612
8560.0, 0.40906018
8570.0, 0.40902436
8580.0, 0.40898857
8590.0, 0.40895292
8600.0, 0.40891725
8610.0, 0.4088817
8620.0, 0.40884626
8630.0, 0.40881082
8640.0, 0.40877545
8650.0, 0.4087402
8660.0, 0.40870497
8670.0, 0.4086698
8680.0, 0.40863472
8690.0, 0.40859973
8700.0, 0.40856478
8710.0, 0.4085299
8720.0, 0.40849507
8730.0, 0.40846032
8740.0, 0.40842572
8750.0, 0.4083911
8760.0, 0.40835658
8770.0, 0.4083221
8780.0, 0.40828767
8790.0, 0.40825334
8800.0, 0.4082191
8810.0, 0.40818492
8820.0, 0.40815076
8830.0, 0.40811673
8840.0, 0.4080827
8850.0, 0.40804878
8860.0, 0.40801492
8870.0, 0.4079811
8880.0, 0.40794742
8890.0, 0.4079137
8900.0, 0.40788016
8910.0, 0.4078466
8920.0, 0.4078131
8930.0, 0.4077797
8940.0, 0.40774637
8950.0, 0.40771312
8960.0, 0.40767986
8970.0, 0.40764675
8980.0, 0.40761366
8990.0, 0.40758064
9000.0, 0.40754768
9010.0, 0.4075148
9020.0, 0.407482
9030.0, 0.40744925
9040.0, 0.40741655
9050.0, 0.4073839
9060.0, 0.40735134
9070.0, 0.40731886
9080.0, 0.40728644
9090.0, 0.40725404
9100.0, 0.4072217
9110.0, 0.40718943
9120.0, 0.40715724
9130.0, 0.40712517
9140.0, 0.4070931
9150.0, 0.4070611
9160.0, 0.40702918
9170.0, 0.40699726
9180.0, 0.4069655
9190.0, 0.40693372
9200.0, 0.40690207
9210.0, 0.40687042
9220.0, 0.4068389
9230.0, 0.40680736
9240.0, 0.40677595
9250.0, 0.40674454
9260.0, 0.40671325
9270.0, 0.40668198
9280.0, 0.40665078
9290.0, 0.40661967
9300.0, 0.4065886
9310.0, 0.4065576
9320.0, 0.40652665
9330.0, 0.40649572
9340.0, 0.4064649
9350.0, 0.40643418
9360.0, 0.40640348
9370.0, 0.40637282
9380.0, 0.40634224
9390.0, 0.4063117
