Energy (in eV), backscattering yield of material sc2k-NASCAP at incidence 50.000004 degree
   X,       Y
8220.0, 0.26494858
8230.0, 0.26489666
8240.0, 0.26484483
8250.0, 0.26479313
8260.0, 0.2647415
8270.0, 0.26468998
8280.0, 0.26463857
8290.0, 0.26458722
8300.0, 0.26453602
8310.0, 0.26448488
8320.0, 0.26443383
8330.0, 0.2643829
8340.0, 0.26433206
8350.0, 0.2642813
8360.0, 0.26423064
8370.0, 0.2641801
8380.0, 0.26412964
8390.0, 0.26407927
8400.0, 0.264029
8410.0, 0.26397884
8420.0, 0.26392874
8430.0, 0.26387876
8440.0, 0.26382887
8450.0, 0.26377907
8460.0, 0.2637294
8470.0, 0.26367977
8480.0, 0.26363027
8490.0, 0.26358086
8500.0, 0.26353154
8510.0, 0.2634823
8520.0, 0.26343316
8530.0, 0.2633841
8540.0, 0.26333517
8550.0, 0.26328632
8560.0, 0.26323754
8570.0, 0.26318887
8580.0, 0.2631403
8590.0, 0.2630918
8600.0, 0.26304337
8610.0, 0.2629951
8620.0, 0.26294687
8630.0, 0.26289874
8640.0, 0.2628507
8650.0, 0.26280278
8660.0, 0.26275492
8670.0, 0.26270717
8680.0, 0.26265952
8690.0, 0.26261193
8700.0, 0.26256445
8710.0, 0.26251704
8720.0, 0.26246974
8730.0, 0.2624225
8740.0, 0.26237538
8750.0, 0.26232836
8760.0, 0.2622814
8770.0, 0.26223454
8780.0, 0.26218778
8790.0, 0.26214108
8800.0, 0.2620945
8810.0, 0.26204798
8820.0, 0.26200157
8830.0, 0.26195523
8840.0, 0.261909
8850.0, 0.26186284
8860.0, 0.26181677
8870.0, 0.2617708
8880.0, 0.26172492
8890.0, 0.2616791
8900.0, 0.2616334
8910.0, 0.26158777
8920.0, 0.26154223
8930.0, 0.26149675
8940.0, 0.2614514
8950.0, 0.26140612
8960.0, 0.2613609
8970.0, 0.2613158
8980.0, 0.2612708
8990.0, 0.26122582
9000.0, 0.261181
9010.0, 0.2611362
9020.0, 0.26109153
9030.0, 0.26104695
9040.0, 0.26100242
9050.0, 0.260958
9060.0, 0.26091364
9070.0, 0.26086938
9080.0, 0.26082522
9090.0, 0.2607811
9100.0, 0.26073712
9110.0, 0.2606932
9120.0, 0.26064935
9130.0, 0.2606056
9140.0, 0.2605619
9150.0, 0.26051834
9160.0, 0.26047483
9170.0, 0.2604314
9180.0, 0.26038808
9190.0, 0.2603448
9200.0, 0.26030162
9210.0, 0.26025853
9220.0, 0.26021552
9230.0, 0.2601726
9240.0, 0.26012975
9250.0, 0.26008698
9260.0, 0.2600443
9270.0, 0.2600017
9280.0, 0.25995916
9290.0, 0.25991672
9300.0, 0.25987437
9310.0, 0.25983208
9320.0, 0.25978988
9330.0, 0.25974777
9340.0, 0.25970572
9350.0, 0.25966376
9360.0, 0.2596219
9370.0, 0.2595801
9380.0, 0.25953838
9390.0, 0.25949675
9400.0, 0.25945517
9410.0, 0.2594137
9420.0, 0.25937232
9430.0, 0.259331
9440.0, 0.25928974
9450.0, 0.25924858
9460.0, 0.2592075
9470.0, 0.2591665
9480.0, 0.25912556
9490.0, 0.25908473
9500.0, 0.25904393
9510.0, 0.25900325
9520.0, 0.25896263
9530.0, 0.2589221
9540.0, 0.25888163
9550.0, 0.25884125
9560.0, 0.25880095
9570.0, 0.25876072
9580.0, 0.25872058
9590.0, 0.2586805
9600.0, 0.2586405
9610.0, 0.25860056
9620.0, 0.25856072
9630.0, 0.25852096
9640.0, 0.25848126
9650.0, 0.25844166
9660.0, 0.2584021
9670.0, 0.25836262
9680.0, 0.25832325
9690.0, 0.25828394
9700.0, 0.2582447
9710.0, 0.25820553
9720.0, 0.25816643
9730.0, 0.25812742
9740.0, 0.25808847
9750.0, 0.2580496
9760.0, 0.25801083
9770.0, 0.2579721
9780.0, 0.25793347
9790.0, 0.25789487
9800.0, 0.2578564
9810.0, 0.25781798
9820.0, 0.25777963
9830.0, 0.25774136
9840.0, 0.25770316
9850.0, 0.257665
9860.0, 0.25762695
9870.0, 0.25758898
9880.0, 0.25755107
9890.0, 0.25751323
9900.0, 0.25747547
9910.0, 0.2574378
9920.0, 0.25740016
9930.0, 0.2573626
9940.0, 0.25732514
9950.0, 0.25728774
9960.0, 0.2572504
9970.0, 0.25721315
9980.0, 0.25717595
9990.0, 0.25713885
10000.0, 0.2571018
10010.0, 0.25706482
10020.0, 0.25702792
10030.0, 0.2569911
10040.0, 0.2569543
10050.0, 0.25691763
10060.0, 0.256881
10070.0, 0.25684446
10080.0, 0.25680795
10090.0, 0.25677156
10100.0, 0.2567352
10110.0, 0.25669894
10120.0, 0.25666273
10130.0, 0.2566266
10140.0, 0.25659055
10150.0, 0.25655454
10160.0, 0.25651863
10170.0, 0.25648278
10180.0, 0.256447
10190.0, 0.25641125
10200.0, 0.2563756
10210.0, 0.25634003
10220.0, 0.2563045
10230.0, 0.25626907
10240.0, 0.2562337
10250.0, 0.25619838
10260.0, 0.25616315
10270.0, 0.25612798
10280.0, 0.25609288
10290.0, 0.25605783
10300.0, 0.25602287
10310.0, 0.25598797
10320.0, 0.25595313
