Energy (in eV), backscattering yield of material bk2k-NASCAP at incidence 70.0 degree
   X,       Y
7640.0, 0.415846
7650.0, 0.4157658
7660.0, 0.4156857
7670.0, 0.41560578
7680.0, 0.41552594
7690.0, 0.41544625
7700.0, 0.4153667
7710.0, 0.4152873
7720.0, 0.41520798
7730.0, 0.4151288
7740.0, 0.41504976
7750.0, 0.41497087
7760.0, 0.41489208
7770.0, 0.41481343
7780.0, 0.4147349
7790.0, 0.41465652
7800.0, 0.41457823
7810.0, 0.4145001
7820.0, 0.41442207
7830.0, 0.4143442
7840.0, 0.41426644
7850.0, 0.4141888
7860.0, 0.41411132
7870.0, 0.41403392
7880.0, 0.41395667
7890.0, 0.41387954
7900.0, 0.41380256
7910.0, 0.4137257
7920.0, 0.41364893
7930.0, 0.41357234
7940.0, 0.41349584
7950.0, 0.41341949
7960.0, 0.41334322
7970.0, 0.4132671
7980.0, 0.41319114
7990.0, 0.41311526
8000.0, 0.41303954
8010.0, 0.4129639
8020.0, 0.4128884
8030.0, 0.41281307
8040.0, 0.41273782
8050.0, 0.41266268
8060.0, 0.41258767
8070.0, 0.41251284
8080.0, 0.41243806
8090.0, 0.41236344
8100.0, 0.41228896
8110.0, 0.41221458
8120.0, 0.4121403
8130.0, 0.4120662
8140.0, 0.41199216
8150.0, 0.41191828
8160.0, 0.41184452
8170.0, 0.41177088
8180.0, 0.41169736
8190.0, 0.41162395
8200.0, 0.4115507
8210.0, 0.41147754
8220.0, 0.4114045
8230.0, 0.41133156
8240.0, 0.4112588
8250.0, 0.4111861
8260.0, 0.41111356
8270.0, 0.41104114
8280.0, 0.4109688
8290.0, 0.41089663
8300.0, 0.41082457
8310.0, 0.4107526
8320.0, 0.41068077
8330.0, 0.41060907
8340.0, 0.41053745
8350.0, 0.410466
8360.0, 0.41039464
8370.0, 0.4103234
8380.0, 0.41025227
8390.0, 0.41018128
8400.0, 0.41011038
8410.0, 0.41003963
8420.0, 0.409969
8430.0, 0.40989846
8440.0, 0.40982804
8450.0, 0.40975776
8460.0, 0.40968758
8470.0, 0.4096175
8480.0, 0.4095476
8490.0, 0.40947777
8500.0, 0.40940803
8510.0, 0.40933844
8520.0, 0.40926898
8530.0, 0.40919963
8540.0, 0.4091304
8550.0, 0.40906125
8560.0, 0.40899226
8570.0, 0.40892336
8580.0, 0.40885457
8590.0, 0.4087859
8600.0, 0.40871736
8610.0, 0.40864894
8620.0, 0.4085806
8630.0, 0.4085124
8640.0, 0.4084443
8650.0, 0.40837634
8660.0, 0.40830845
8670.0, 0.4082407
8680.0, 0.40817308
8690.0, 0.40810555
8700.0, 0.40803814
8710.0, 0.40797088
8720.0, 0.40790367
8730.0, 0.40783662
8740.0, 0.40776965
8750.0, 0.4077028
8760.0, 0.40763608
