Energy (in eV), backscattering yield of material te2k-NASCAP at isotropic incidence
   X,       Y
8580.0, 0.24511126
8590.0, 0.24506263
8600.0, 0.24501412
8610.0, 0.24496567
8620.0, 0.24491732
8630.0, 0.24486908
8640.0, 0.24482092
8650.0, 0.24477285
8660.0, 0.24472488
8670.0, 0.24467698
8680.0, 0.24462916
8690.0, 0.24458145
8700.0, 0.24453384
8710.0, 0.24448629
8720.0, 0.24443883
8730.0, 0.24439147
8740.0, 0.2443442
8750.0, 0.24429703
8760.0, 0.24424993
8770.0, 0.24420293
8780.0, 0.24415602
8790.0, 0.24410918
8800.0, 0.24406244
8810.0, 0.24401577
8820.0, 0.24396922
8830.0, 0.24392271
8840.0, 0.24387634
8850.0, 0.24383003
8860.0, 0.2437838
8870.0, 0.24373767
8880.0, 0.2436916
8890.0, 0.24364565
8900.0, 0.24359977
8910.0, 0.24355398
8920.0, 0.24350828
8930.0, 0.24346265
8940.0, 0.24341711
8950.0, 0.24337165
8960.0, 0.24332629
8970.0, 0.24328102
8980.0, 0.24323581
8990.0, 0.24319069
9000.0, 0.24314569
9010.0, 0.24310075
9020.0, 0.24305588
9030.0, 0.24301112
9040.0, 0.24296641
9050.0, 0.2429218
9060.0, 0.24287729
9070.0, 0.24283284
9080.0, 0.2427885
9090.0, 0.2427442
9100.0, 0.24270001
9110.0, 0.2426559
9120.0, 0.24261189
9130.0, 0.24256793
9140.0, 0.24252407
9150.0, 0.24248031
9160.0, 0.24243662
9170.0, 0.24239299
9180.0, 0.24234948
9190.0, 0.24230601
9200.0, 0.24226265
9210.0, 0.24221934
9220.0, 0.24217615
9230.0, 0.24213304
9240.0, 0.24208997
9250.0, 0.24204701
9260.0, 0.24200413
9270.0, 0.24196132
9280.0, 0.24191861
9290.0, 0.24187596
9300.0, 0.24183339
9310.0, 0.24179092
9320.0, 0.2417485
9330.0, 0.24170618
9340.0, 0.24166395
9350.0, 0.24162178
9360.0, 0.24157968
9370.0, 0.24153769
9380.0, 0.24149576
9390.0, 0.24145392
9400.0, 0.24141215
9410.0, 0.24137044
9420.0, 0.24132884
9430.0, 0.2412873
9440.0, 0.24124584
9450.0, 0.24120447
9460.0, 0.24116316
9470.0, 0.24112193
9480.0, 0.2410808
9490.0, 0.24103972
9500.0, 0.24099874
9510.0, 0.24095783
9520.0, 0.24091698
9530.0, 0.24087623
9540.0, 0.24083555
9550.0, 0.24079494
9560.0, 0.24075441
9570.0, 0.24071395
9580.0, 0.24067359
9590.0, 0.24063326
9600.0, 0.24059306
9610.0, 0.24055289
9620.0, 0.24051282
9630.0, 0.24047282
9640.0, 0.24043289
9650.0, 0.24039306
9660.0, 0.24035329
9670.0, 0.24031357
9680.0, 0.24027397
9690.0, 0.2402344
9700.0, 0.24019493
9710.0, 0.24015555
9720.0, 0.2401162
9730.0, 0.24007694
9740.0, 0.24003777
9750.0, 0.23999867
9760.0, 0.23995966
9770.0, 0.23992069
9780.0, 0.23988181
9790.0, 0.239843
9800.0, 0.23980425
9810.0, 0.23976558
9820.0, 0.23972699
9830.0, 0.2396885
9840.0, 0.23965004
9850.0, 0.23961166
9860.0, 0.23957337
9870.0, 0.23953514
9880.0, 0.23949699
9890.0, 0.23945892
9900.0, 0.23942089
9910.0, 0.23938295
9920.0, 0.23934509
9930.0, 0.23930728
9940.0, 0.23926957
9950.0, 0.23923191
9960.0, 0.23919432
9970.0, 0.23915681
9980.0, 0.23911937
9990.0, 0.23908202
10000.0, 0.2390447
10010.0, 0.23900749
10020.0, 0.23897032
10030.0, 0.23893322
10040.0, 0.2388962
10050.0, 0.23885928
10060.0, 0.2388224
10070.0, 0.23878558
10080.0, 0.23874883
10090.0, 0.23871219
10100.0, 0.23867556
