Energy (in eV), backscattering yield of material te2k-NASCAP at incidence 80.0 degree
   X,       Y
6940.0, 0.67199767
6950.0, 0.67194027
6960.0, 0.6718829
6970.0, 0.6718257
6980.0, 0.67176855
6990.0, 0.6717115
7000.0, 0.6716545
7010.0, 0.67159766
7020.0, 0.67154086
7030.0, 0.6714842
7040.0, 0.67142755
7050.0, 0.67137104
7060.0, 0.67131466
7070.0, 0.67125833
7080.0, 0.67120206
7090.0, 0.6711459
7100.0, 0.6710898
7110.0, 0.67103386
7120.0, 0.670978
7130.0, 0.6709222
7140.0, 0.6708665
7150.0, 0.6708109
7160.0, 0.6707554
7170.0, 0.67069995
7180.0, 0.6706446
7190.0, 0.6705893
7200.0, 0.67053413
7210.0, 0.67047906
7220.0, 0.6704241
7230.0, 0.6703692
7240.0, 0.6703144
7250.0, 0.67025965
7260.0, 0.670205
7270.0, 0.67015046
7280.0, 0.670096
7290.0, 0.6700416
7300.0, 0.6699873
7310.0, 0.66993314
7320.0, 0.669879
7330.0, 0.669825
7340.0, 0.6697711
7350.0, 0.6697172
7360.0, 0.6696634
7370.0, 0.6696098
7380.0, 0.6695562
7390.0, 0.6695027
7400.0, 0.66944927
7410.0, 0.6693959
7420.0, 0.6693427
7430.0, 0.6692895
7440.0, 0.6692365
7450.0, 0.6691835
7460.0, 0.6691306
7470.0, 0.6690778
7480.0, 0.66902506
7490.0, 0.66897243
7500.0, 0.66891986
7510.0, 0.6688674
7520.0, 0.668815
7530.0, 0.6687627
7540.0, 0.6687105
7550.0, 0.6686584
7560.0, 0.66860634
7570.0, 0.66855437
7580.0, 0.6685025
7590.0, 0.6684507
7600.0, 0.668399
7610.0, 0.66834736
7620.0, 0.6682958
7630.0, 0.66824436
7640.0, 0.668193
7650.0, 0.6681417
7660.0, 0.6680905
7670.0, 0.6680394
7680.0, 0.66798836
7690.0, 0.6679374
7700.0, 0.66788656
7710.0, 0.6678358
7720.0, 0.66778505
7730.0, 0.66773444
7740.0, 0.6676839
7750.0, 0.6676335
7760.0, 0.6675831
7770.0, 0.6675328
7780.0, 0.6674826
7790.0, 0.6674325
7800.0, 0.6673824
7810.0, 0.6673325
7820.0, 0.6672826
7830.0, 0.6672328
7840.0, 0.6671831
7850.0, 0.66713345
7860.0, 0.6670839
7870.0, 0.66703445
7880.0, 0.66698503
7890.0, 0.66693574
7900.0, 0.6668865
7910.0, 0.6668374
7920.0, 0.66678834
7930.0, 0.66673934
7940.0, 0.66669047
7950.0, 0.66664165
7960.0, 0.6665929
7970.0, 0.66654426
7980.0, 0.6664957
7990.0, 0.66644716
8000.0, 0.66639876
8010.0, 0.6663504
8020.0, 0.66630214
8030.0, 0.666254
8040.0, 0.6662059
8050.0, 0.66615784
8060.0, 0.6661099
8070.0, 0.66606206
8080.0, 0.66601425
8090.0, 0.6659666
8100.0, 0.66591895
8110.0, 0.66587144
8120.0, 0.66582394
8130.0, 0.66577655
8140.0, 0.6657293
8150.0, 0.665682
8160.0, 0.6656349
8170.0, 0.66558784
8180.0, 0.6655408
8190.0, 0.6654939
8200.0, 0.66544706
8210.0, 0.6654003
8220.0, 0.66535366
8230.0, 0.66530704
8240.0, 0.6652605
8250.0, 0.66521406
8260.0, 0.6651677
8270.0, 0.6651214
8280.0, 0.6650752
8290.0, 0.66502905
8300.0, 0.664983
8310.0, 0.664937
8320.0, 0.66489106
8330.0, 0.6648453
8340.0, 0.6647995
8350.0, 0.66475385
8360.0, 0.6647082
8370.0, 0.6646627
8380.0, 0.66461724
8390.0, 0.6645719
8400.0, 0.6645266
8410.0, 0.66448134
8420.0, 0.6644362
8430.0, 0.66439116
8440.0, 0.66434616
8450.0, 0.6643012
8460.0, 0.6642564
8470.0, 0.66421163
8480.0, 0.6641669
8490.0, 0.6641223
8500.0, 0.66407776
8510.0, 0.6640333
8520.0, 0.6639889
8530.0, 0.6639446
8540.0, 0.6639003
8550.0, 0.66385615
8560.0, 0.66381204
8570.0, 0.66376805
8580.0, 0.6637241
8590.0, 0.6636802
8600.0, 0.66363645
8610.0, 0.6635927
8620.0, 0.66354907
8630.0, 0.6635055
8640.0, 0.663462
8650.0, 0.66341853
8660.0, 0.6633752
8670.0, 0.66333187
8680.0, 0.66328865
