Energy (in eV), SEEE yield of material te2k-NASCAP at isotropic incidence
   X,       Y
5350.0, 0.94669574
5360.0, 0.9453591
5370.0, 0.94402707
5380.0, 0.94269913
5390.0, 0.9413753
5400.0, 0.94005597
5410.0, 0.93874073
5420.0, 0.93742955
5430.0, 0.9361228
5440.0, 0.93482006
5450.0, 0.9335216
5460.0, 0.93222713
5470.0, 0.9309369
5480.0, 0.9296506
5490.0, 0.92836845
5500.0, 0.92709017
5510.0, 0.92581594
5520.0, 0.9245459
5530.0, 0.9232795
5540.0, 0.9220175
5550.0, 0.9207591
5560.0, 0.91950476
5570.0, 0.9182543
5580.0, 0.9170076
5590.0, 0.9157649
5600.0, 0.91452616
5610.0, 0.91329086
5620.0, 0.91205966
5630.0, 0.91083217
5640.0, 0.90960854
5650.0, 0.9083885
5660.0, 0.90717226
5670.0, 0.9059599
5680.0, 0.90475094
5690.0, 0.90354574
5700.0, 0.9023444
5710.0, 0.90114665
5720.0, 0.8999525
5730.0, 0.89876187
5740.0, 0.89757484
5750.0, 0.8963915
5760.0, 0.89521164
5770.0, 0.8940352
5780.0, 0.89286256
5790.0, 0.8916933
5800.0, 0.8905275
5810.0, 0.88936526
5820.0, 0.8882064
5830.0, 0.887051
5840.0, 0.885899
5850.0, 0.8847505
5860.0, 0.88360554
5870.0, 0.8824637
5880.0, 0.88132524
5890.0, 0.8801904
5900.0, 0.87905854
5910.0, 0.8779302
5920.0, 0.8768052
5930.0, 0.8756834
5940.0, 0.87456495
5950.0, 0.8734497
5960.0, 0.87233776
5970.0, 0.871229
5980.0, 0.87012345
5990.0, 0.86902106
6000.0, 0.86792207
6010.0, 0.8668261
6020.0, 0.86573327
6030.0, 0.8646437
6040.0, 0.86355704
6050.0, 0.86247367
6060.0, 0.8613934
6070.0, 0.860316
6080.0, 0.859242
6090.0, 0.858171
6100.0, 0.85710305
6110.0, 0.8560379
6120.0, 0.85497606
6130.0, 0.8539171
6140.0, 0.852861
6150.0, 0.8518081
6160.0, 0.8507581
6170.0, 0.84971106
6180.0, 0.84866697
6190.0, 0.84762573
6200.0, 0.8465874
6210.0, 0.84555215
6220.0, 0.8445197
6230.0, 0.84349006
6240.0, 0.8424635
6250.0, 0.84143955
6260.0, 0.8404186
6270.0, 0.8394004
6280.0, 0.83838487
6290.0, 0.8373725
6300.0, 0.83636254
6310.0, 0.83535564
6320.0, 0.8343514
6330.0, 0.83335
6340.0, 0.83235127
6350.0, 0.8313552
6360.0, 0.83036196
6370.0, 0.8293715
6380.0, 0.8283836
6390.0, 0.82739836
6400.0, 0.82641596
6410.0, 0.8254362
6420.0, 0.8244589
6430.0, 0.82348454
6440.0, 0.8225126
6450.0, 0.82154346
6460.0, 0.8205767
6470.0, 0.8196126
6480.0, 0.8186513
6490.0, 0.81769234
6500.0, 0.816736
6510.0, 0.8157821
6520.0, 0.814831
6530.0, 0.81388235
6540.0, 0.8129361
6550.0, 0.81199247
6560.0, 0.8110514
6570.0, 0.8101127
6580.0, 0.8091765
6590.0, 0.808243
6600.0, 0.8073117
6610.0, 0.8063828
6620.0, 0.8054566
6630.0, 0.80453265
6640.0, 0.8036113
6650.0, 0.8026922
6660.0, 0.8017754
6670.0, 0.8008611
6680.0, 0.7999492
6690.0, 0.7990398
6700.0, 0.7981326
6710.0, 0.79722774
6720.0, 0.7963254
6730.0, 0.79542536
6740.0, 0.7945274
6750.0, 0.7936319
6760.0, 0.79273885
6770.0, 0.7918479
6780.0, 0.7909593
6790.0, 0.7900731
6800.0, 0.78918904
6810.0, 0.78830725
6820.0, 0.78742766
6830.0, 0.78655046
6840.0, 0.7856754
6850.0, 0.78480256
6860.0, 0.783932
6870.0, 0.78306365
6880.0, 0.78219736
6890.0, 0.7813334
6900.0, 0.78047156
6910.0, 0.7796119
6920.0, 0.7787545
6930.0, 0.7778991
