Energy (in eV), SEEE yield of material osr2k-NASCAP at isotropic incidence
   X,       Y
6700.0, 1.243798
6710.0, 1.2422949
6720.0, 1.2407962
6730.0, 1.2393011
6740.0, 1.2378099
6750.0, 1.2363223
6760.0, 1.2348386
6770.0, 1.233359
6780.0, 1.2318832
6790.0, 1.2304108
6800.0, 1.2289423
6810.0, 1.2274778
6820.0, 1.2260168
6830.0, 1.2245595
6840.0, 1.223106
6850.0, 1.2216563
6860.0, 1.2202103
6870.0, 1.2187678
6880.0, 1.2173289
6890.0, 1.2158939
6900.0, 1.214462
6910.0, 1.2130343
6920.0, 1.21161
6930.0, 1.2101892
6940.0, 1.2087718
6950.0, 1.2073584
6960.0, 1.2059481
6970.0, 1.2045417
6980.0, 1.2031387
6990.0, 1.2017392
7000.0, 1.2003431
7010.0, 1.1989504
7020.0, 1.1975614
7030.0, 1.1961757
7040.0, 1.1947935
7050.0, 1.1934147
7060.0, 1.1920393
7070.0, 1.190667
7080.0, 1.1892986
7090.0, 1.1879332
7100.0, 1.1865715
7110.0, 1.1852127
7120.0, 1.1838577
7130.0, 1.1825057
7140.0, 1.1811572
7150.0, 1.1798117
7160.0, 1.1784699
7170.0, 1.1771312
7180.0, 1.1757958
7190.0, 1.1744633
7200.0, 1.1731344
7210.0, 1.1718087
7220.0, 1.1704859
7230.0, 1.1691667
7240.0, 1.1678504
7250.0, 1.1665374
7260.0, 1.1652275
7270.0, 1.1639209
7280.0, 1.1626174
7290.0, 1.1613171
7300.0, 1.1600198
7310.0, 1.1587254
7320.0, 1.1574343
7330.0, 1.1561464
7340.0, 1.1548617
7350.0, 1.1535797
7360.0, 1.1523008
7370.0, 1.1510249
7380.0, 1.1497523
7390.0, 1.1484824
7400.0, 1.1472157
7410.0, 1.1459521
7420.0, 1.1446913
7430.0, 1.1434335
7440.0, 1.1421787
7450.0, 1.140927
7460.0, 1.139678
7470.0, 1.138432
7480.0, 1.1371889
7490.0, 1.1359488
7500.0, 1.1347115
7510.0, 1.1334771
7520.0, 1.1322457
7530.0, 1.131017
7540.0, 1.1297914
7550.0, 1.1285684
7560.0, 1.1273483
7570.0, 1.126131
7580.0, 1.1249167
7590.0, 1.1237049
7600.0, 1.1224962
7610.0, 1.1212903
7620.0, 1.120087
7630.0, 1.1188865
7640.0, 1.1176888
7650.0, 1.1164939
7660.0, 1.1153017
7670.0, 1.1141121
7680.0, 1.1129254
7690.0, 1.1117412
7700.0, 1.1105599
7710.0, 1.1093812
7720.0, 1.1082053
7730.0, 1.1070321
7740.0, 1.1058615
7750.0, 1.1046934
7760.0, 1.103528
7770.0, 1.1023656
7780.0, 1.1012053
7790.0, 1.100048
7800.0, 1.0988932
7810.0, 1.0977409
7820.0, 1.0965914
7830.0, 1.0954442
7840.0, 1.0942996
7850.0, 1.0931578
7860.0, 1.0920184
7870.0, 1.0908816
7880.0, 1.0897473
7890.0, 1.0886155
7900.0, 1.0874864
7910.0, 1.0863596
7920.0, 1.0852355
7930.0, 1.0841138
7940.0, 1.0829946
7950.0, 1.0818778
7960.0, 1.0807636
7970.0, 1.0796517
7980.0, 1.0785426
7990.0, 1.0774356
8000.0, 1.076331
8010.0, 1.0752289
8020.0, 1.0741293
8030.0, 1.0730323
8040.0, 1.0719374
8050.0, 1.070845
8060.0, 1.0697551
8070.0, 1.0686674
8080.0, 1.0675821
8090.0, 1.0664994
8100.0, 1.0654188
8110.0, 1.0643406
8120.0, 1.063265
8130.0, 1.0621914
8140.0, 1.0611202
8150.0, 1.0600513
8160.0, 1.0589848
8170.0, 1.0579205
8180.0, 1.0568585
8190.0, 1.0557989
8200.0, 1.0547416
8210.0, 1.0536865
8220.0, 1.0526335
8230.0, 1.0515833
8240.0, 1.0505348
8250.0, 1.0494888
8260.0, 1.0484449
8270.0, 1.0474033
8280.0, 1.0463641
8290.0, 1.0453268
8300.0, 1.0442919
8310.0, 1.0432589
8320.0, 1.0422285
8330.0, 1.0412002
8340.0, 1.040174
8350.0, 1.0391499
8360.0, 1.038128
8370.0, 1.0371083
8380.0, 1.0360909
8390.0, 1.0350755
8400.0, 1.0340621
8410.0, 1.0330509
8420.0, 1.0320419
8430.0, 1.0310351
8440.0, 1.0300304
8450.0, 1.0290277
8460.0, 1.0280269
8470.0, 1.0270286
8480.0, 1.0260321
8490.0, 1.0250378
8500.0, 1.0240455
8510.0, 1.0230553
8520.0, 1.0220671
8530.0, 1.0210811
8540.0, 1.020097
8550.0, 1.019115
8560.0, 1.0181348
8570.0, 1.017157
8580.0, 1.0161811
8590.0, 1.015207
8600.0, 1.0142353
8610.0, 1.0132654
8620.0, 1.0122974
8630.0, 1.0113314
8640.0, 1.0103673
8650.0, 1.0094054
8660.0, 1.0084455
8670.0, 1.0074874
8680.0, 1.0065314
8690.0, 1.0055772
8700.0, 1.004625
8710.0, 1.0036746
8720.0, 1.0027262
8730.0, 1.0017799
8740.0, 1.0008353
8750.0, 0.9998929
8760.0, 0.9989521
8770.0, 0.9980133
8780.0, 0.9970766
8790.0, 0.99614155
8800.0, 0.9952082
8810.0, 0.9942771
8820.0, 0.9933479
8830.0, 0.9924202
8840.0, 0.9914947
8850.0, 0.9905708
8860.0, 0.98964906
8870.0, 0.9887288
8880.0, 0.98781043
8890.0, 0.9868942
8900.0, 0.98597956
8910.0, 0.9850669
8920.0, 0.98415583
8930.0, 0.9832468
8940.0, 0.98233956
8950.0, 0.98143387
8960.0, 0.98053014
8970.0, 0.9796282
8980.0, 0.97872806
8990.0, 0.97782975
9000.0, 0.97693306
9010.0, 0.9760383
9020.0, 0.9751451
9030.0, 0.9742539
9040.0, 0.9733642
9050.0, 0.97247624
9060.0, 0.97159046
9070.0, 0.970706
9080.0, 0.9698234
9090.0, 0.96894246
9100.0, 0.9680634
9110.0, 0.967186
9120.0, 0.9663101
9130.0, 0.96543604
9140.0, 0.96456367
9150.0, 0.96369314
9160.0, 0.96282405
9170.0, 0.96195674
9180.0, 0.96109104
9190.0, 0.9602272
