Energy (in eV), backscattering yield of material gr2k-NASCAP at incidence 0.0 degree
   X,       Y
10820.0, 0.077339344
10830.0, 0.077316396
10840.0, 0.07729349
10850.0, 0.077270634
10860.0, 0.07724782
10870.0, 0.07722505
10880.0, 0.07720233
10890.0, 0.077179655
10900.0, 0.07715702
10910.0, 0.07713444
10920.0, 0.0771119
10930.0, 0.0770894
10940.0, 0.07706695
10950.0, 0.07704455
10960.0, 0.07702218
10970.0, 0.076999865
10980.0, 0.076977596
10990.0, 0.07695537
11000.0, 0.07693318
11010.0, 0.07691105
11020.0, 0.076888956
11030.0, 0.0768669
11040.0, 0.07684489
11050.0, 0.07682294
11060.0, 0.07680102
11070.0, 0.07677914
11080.0, 0.07675731
11090.0, 0.07673553
11100.0, 0.07671378
11110.0, 0.07669208
11120.0, 0.07667042
11130.0, 0.07664881
11140.0, 0.07662724
11150.0, 0.076605715
11160.0, 0.07658423
11170.0, 0.076562785
11180.0, 0.07654139
11190.0, 0.07652003
11200.0, 0.07649872
11210.0, 0.07647745
11220.0, 0.07645622
11230.0, 0.07643504
11240.0, 0.07641389
11250.0, 0.07639279
11260.0, 0.07637174
11270.0, 0.07635072
11280.0, 0.076329745
11290.0, 0.07630881
11300.0, 0.07628792
11310.0, 0.07626707
11320.0, 0.07624626
11330.0, 0.0762255
11340.0, 0.07620477
11350.0, 0.07618409
11360.0, 0.07616345
11370.0, 0.07614285
11380.0, 0.076122284
11390.0, 0.076101765
11400.0, 0.07608129
11410.0, 0.076060854
11420.0, 0.07604046
11430.0, 0.07602011
11440.0, 0.07599979
11450.0, 0.075979516
11460.0, 0.07595928
11470.0, 0.07593909
11480.0, 0.075918935
11490.0, 0.075898826
11500.0, 0.075878754
11510.0, 0.07585872
11520.0, 0.07583873
11530.0, 0.07581878
11540.0, 0.07579887
11550.0, 0.075779
11560.0, 0.075759165
11570.0, 0.07573937
11580.0, 0.07571962
11590.0, 0.0756999
11600.0, 0.075680226
