Energy (in eV), SEEE yield of material np2k-NASCAP at isotropic incidence
   X,       Y
6730.0, 6.3982883E-14
6740.0, 6.3152324E-14
6750.0, 6.233373E-14
6760.0, 6.152693E-14
6770.0, 6.073179E-14
6780.0, 5.994802E-14
6790.0, 5.9175545E-14
6800.0, 5.841411E-14
6810.0, 5.76636E-14
6820.0, 5.692378E-14
6830.0, 5.6194554E-14
6840.0, 5.547567E-14
6850.0, 5.4767046E-14
6860.0, 5.4068464E-14
6870.0, 5.3379827E-14
6880.0, 5.27009E-14
6890.0, 5.2031608E-14
6900.0, 5.137174E-14
6910.0, 5.072121E-14
6920.0, 5.0079807E-14
6930.0, 4.9447463E-14
6940.0, 4.8823955E-14
6950.0, 4.8209226E-14
6960.0, 4.760308E-14
6970.0, 4.700543E-14
6980.0, 4.6416094E-14
6990.0, 4.583501E-14
7000.0, 4.526198E-14
7010.0, 4.4696926E-14
7020.0, 4.4139737E-14
7030.0, 4.3590247E-14
7040.0, 4.3048393E-14
7050.0, 4.2514003E-14
7060.0, 4.1987017E-14
7070.0, 4.146727E-14
7080.0, 4.0954694E-14
7090.0, 4.0449147E-14
7100.0, 3.9950563E-14
7110.0, 3.9458793E-14
7120.0, 3.897377E-14
7130.0, 3.8495364E-14
7140.0, 3.8023506E-14
7150.0, 3.755806E-14
7160.0, 3.7098966E-14
7170.0, 3.6646094E-14
7180.0, 3.6199393E-14
7190.0, 3.5758726E-14
7200.0, 3.532405E-14
7210.0, 3.4895226E-14
7220.0, 3.4472208E-14
7230.0, 3.405487E-14
7240.0, 3.3643183E-14
7250.0, 3.3237004E-14
7260.0, 3.2836283E-14
7270.0, 3.2440942E-14
7280.0, 3.205089E-14
7290.0, 3.1666066E-14
7300.0, 3.1286365E-14
7310.0, 3.0911742E-14
7320.0, 3.0542084E-14
7330.0, 3.017737E-14
7340.0, 2.9817477E-14
7350.0, 2.946238E-14
7360.0, 2.9111967E-14
7370.0, 2.8766198E-14
7380.0, 2.842499E-14
7390.0, 2.808829E-14
7400.0, 2.7756016E-14
7410.0, 2.7428128E-14
7420.0, 2.7104533E-14
7430.0, 2.6785196E-14
7440.0, 2.647003E-14
7450.0, 2.6159005E-14
7460.0, 2.5852028E-14
7470.0, 2.5549072E-14
7480.0, 2.525005E-14
7490.0, 2.495493E-14
7500.0, 2.466364E-14
7510.0, 2.437613E-14
7520.0, 2.4092358E-14
7530.0, 2.3812248E-14
7540.0, 2.3535773E-14
7550.0, 2.326286E-14
7560.0, 2.2993475E-14
7570.0, 2.2727544E-14
7580.0, 2.2465045E-14
7590.0, 2.2205912E-14
7600.0, 2.1950112E-14
7610.0, 2.1697577E-14
7620.0, 2.1448287E-14
7630.0, 2.120217E-14
7640.0, 2.0959207E-14
7650.0, 2.0719324E-14
7660.0, 2.0482514E-14
7670.0, 2.0248695E-14
7680.0, 2.001786E-14
7690.0, 1.9789942E-14
7700.0, 1.9564918E-14
7710.0, 1.9342727E-14
7720.0, 1.9123358E-14
7730.0, 1.8906744E-14
7740.0, 1.869287E-14
7750.0, 1.8481674E-14
7760.0, 1.8273135E-14
7770.0, 1.8067221E-14
7780.0, 1.7863877E-14
7790.0, 1.766309E-14
