Energy (in eV), backscattering yield of material gr2k-NASCAP at isotropic incidence
   X,       Y
5110.0, 0.25507426
5120.0, 0.25497952
5130.0, 0.25488496
5140.0, 0.25479057
5150.0, 0.25469634
5160.0, 0.25460228
5170.0, 0.25450835
5180.0, 0.25441462
5190.0, 0.254321
5200.0, 0.25422764
5210.0, 0.25413436
5220.0, 0.25404128
5230.0, 0.25394836
5240.0, 0.2538556
5250.0, 0.253763
5260.0, 0.25367057
5270.0, 0.2535783
5280.0, 0.2534862
5290.0, 0.25339422
5300.0, 0.25330245
5310.0, 0.2532108
5320.0, 0.25311935
5330.0, 0.25302804
5340.0, 0.2529369
5350.0, 0.2528459
5360.0, 0.25275508
5370.0, 0.25266445
5380.0, 0.2525739
5390.0, 0.25248358
5400.0, 0.25239336
5410.0, 0.25230336
5420.0, 0.25221348
5430.0, 0.25212377
5440.0, 0.2520342
5450.0, 0.2519448
5460.0, 0.25185558
5470.0, 0.25176647
5480.0, 0.25167757
5490.0, 0.2515888
5500.0, 0.2515002
5510.0, 0.2514117
5520.0, 0.25132343
5530.0, 0.25123528
5540.0, 0.25114727
5550.0, 0.25105944
5560.0, 0.25097176
5570.0, 0.25088423
5580.0, 0.25079688
5590.0, 0.25070965
5600.0, 0.2506226
5610.0, 0.25053567
5620.0, 0.25044894
5630.0, 0.2503623
5640.0, 0.25027588
5650.0, 0.25018957
5660.0, 0.2501034
5670.0, 0.25001743
5680.0, 0.24993157
5690.0, 0.24984589
5700.0, 0.24976036
5710.0, 0.24967498
5720.0, 0.24958974
5730.0, 0.24950466
5740.0, 0.2494197
5750.0, 0.24933493
5760.0, 0.2492503
5770.0, 0.2491658
5780.0, 0.24908149
5790.0, 0.24899729
5800.0, 0.24891326
5810.0, 0.24882935
5820.0, 0.24874562
5830.0, 0.24866202
5840.0, 0.24857858
5850.0, 0.2484953
5860.0, 0.24841213
5870.0, 0.24832915
5880.0, 0.2482463
5890.0, 0.24816358
5900.0, 0.24808101
5910.0, 0.24799861
5920.0, 0.24791634
5930.0, 0.24783422
5940.0, 0.24775225
5950.0, 0.24767041
5960.0, 0.24758871
5970.0, 0.24750718
5980.0, 0.24742578
5990.0, 0.24734452
6000.0, 0.24726343
6010.0, 0.24718247
6020.0, 0.24710163
6030.0, 0.24702097
6040.0, 0.24694045
6050.0, 0.24686004
6060.0, 0.2467798
6070.0, 0.24669969
6080.0, 0.24661975
6090.0, 0.2465399
6100.0, 0.24646024
6110.0, 0.24638072
6120.0, 0.24630132
6130.0, 0.24622206
6140.0, 0.24614295
6150.0, 0.24606398
6160.0, 0.24598514
6170.0, 0.24590646
6180.0, 0.2458279
6190.0, 0.2457495
6200.0, 0.24567123
