Energy (in eV), backscattering yield of material te2k-NASCAP at incidence 40.0 degree
   X,       Y
9540.0, 0.15975071
9550.0, 0.15971096
9560.0, 0.15967126
9570.0, 0.15963165
9580.0, 0.15959212
9590.0, 0.15955265
9600.0, 0.15951326
9610.0, 0.15947396
9620.0, 0.15943474
9630.0, 0.15939558
9640.0, 0.15935649
9650.0, 0.15931748
9660.0, 0.15927854
9670.0, 0.1592397
9680.0, 0.1592009
9690.0, 0.1591622
9700.0, 0.15912355
9710.0, 0.159085
9720.0, 0.15904652
9730.0, 0.1590081
9740.0, 0.15896977
9750.0, 0.15893151
9760.0, 0.15889332
9770.0, 0.1588552
9780.0, 0.15881716
9790.0, 0.15877919
9800.0, 0.1587413
9810.0, 0.15870346
9820.0, 0.15866572
9830.0, 0.15862805
9840.0, 0.15859044
9850.0, 0.1585529
9860.0, 0.15851544
9870.0, 0.15847805
9880.0, 0.15844074
9890.0, 0.1584035
9900.0, 0.15836632
9910.0, 0.15832922
9920.0, 0.15829219
9930.0, 0.15825522
9940.0, 0.15821834
9950.0, 0.15818153
9960.0, 0.15814477
9970.0, 0.1581081
9980.0, 0.15807149
9990.0, 0.15803497
10000.0, 0.1579985
10010.0, 0.15796211
10020.0, 0.15792578
10030.0, 0.15788953
10040.0, 0.15785335
10050.0, 0.15781724
10060.0, 0.1577812
10070.0, 0.15774523
10080.0, 0.15770932
10090.0, 0.1576735
10100.0, 0.15763772
10110.0, 0.15760203
10120.0, 0.15756638
10130.0, 0.15753083
10140.0, 0.15749533
10150.0, 0.15745991
10160.0, 0.15742457
10170.0, 0.15738928
10180.0, 0.15735406
10190.0, 0.1573189
10200.0, 0.15728383
10210.0, 0.15724882
10220.0, 0.15721388
10230.0, 0.157179
10240.0, 0.15714417
10250.0, 0.15710944
10260.0, 0.15707476
10270.0, 0.15704015
10280.0, 0.15700561
10290.0, 0.15697113
10300.0, 0.15693672
10310.0, 0.15690237
10320.0, 0.1568681
10330.0, 0.15683389
10340.0, 0.15679973
10350.0, 0.15676567
10360.0, 0.15673165
10370.0, 0.1566977
10380.0, 0.15666382
10390.0, 0.15663
10400.0, 0.15659626
10410.0, 0.15656257
10420.0, 0.15652895
10430.0, 0.15649539
10440.0, 0.1564619
10450.0, 0.15642847
10460.0, 0.15639511
10470.0, 0.1563618
10480.0, 0.15632857
