Energy (in eV), backscattering yield of material gr2k-NASCAP at incidence 10.0 degree
   X,       Y
6070.0, 0.099023715
6080.0, 0.09896316
6090.0, 0.09890271
6100.0, 0.09884239
6110.0, 0.09878219
6120.0, 0.0987221
6130.0, 0.09866214
6140.0, 0.098602295
6150.0, 0.09854257
6160.0, 0.09848297
6170.0, 0.09842347
6180.0, 0.09836411
6190.0, 0.09830486
6200.0, 0.098245725
6210.0, 0.0981867
6220.0, 0.09812781
6230.0, 0.09806903
6240.0, 0.09801036
6250.0, 0.097951815
6260.0, 0.09789339
6270.0, 0.09783507
6280.0, 0.09777687
6290.0, 0.09771878
6300.0, 0.09766081
6310.0, 0.09760296
6320.0, 0.09754522
6330.0, 0.097487606
6340.0, 0.097430095
6350.0, 0.0973727
6360.0, 0.09731542
6370.0, 0.097258255
6380.0, 0.097201206
6390.0, 0.09714427
6400.0, 0.09708744
6410.0, 0.09703073
6420.0, 0.09697413
6430.0, 0.096917644
6440.0, 0.096861266
6450.0, 0.096805
6460.0, 0.09674886
6470.0, 0.096692815
6480.0, 0.09663689
6490.0, 0.09658107
6500.0, 0.09652536
6510.0, 0.096469775
6520.0, 0.09641429
6530.0, 0.09635892
6540.0, 0.09630365
6550.0, 0.0962485
6560.0, 0.096193455
6570.0, 0.09613852
6580.0, 0.09608369
6590.0, 0.09602898
6600.0, 0.09597438
6610.0, 0.09591988
6620.0, 0.09586549
6630.0, 0.09581121
6640.0, 0.09575703
6650.0, 0.09570296
6660.0, 0.09564901
6670.0, 0.09559516
6680.0, 0.09554141
6690.0, 0.09548778
6700.0, 0.09543425
6710.0, 0.09538082
6720.0, 0.095327504
6730.0, 0.09527429
6740.0, 0.095221184
6750.0, 0.09516818
6760.0, 0.09511529
6770.0, 0.0950625
6780.0, 0.09500982
6790.0, 0.09495724
6800.0, 0.094904765
6810.0, 0.094852395
6820.0, 0.09480013
6830.0, 0.09474797
6840.0, 0.0946959
6850.0, 0.09464395
6860.0, 0.0945921
6870.0, 0.09454035
6880.0, 0.0944887
6890.0, 0.09443717
6900.0, 0.09438573
6910.0, 0.09433439
6920.0, 0.09428315
6930.0, 0.09423202
6940.0, 0.09418099
6950.0, 0.09413006
6960.0, 0.094079226
6970.0, 0.094028495
6980.0, 0.093977876
6990.0, 0.093927346
7000.0, 0.09387692
7010.0, 0.09382659
7020.0, 0.09377637
7030.0, 0.09372625
7040.0, 0.09367622
7050.0, 0.09362629
7060.0, 0.09357647
7070.0, 0.093526736
7080.0, 0.09347711
7090.0, 0.09342758
7100.0, 0.09337815
7110.0, 0.09332882
7120.0, 0.09327958
7130.0, 0.09323045
7140.0, 0.09318141
7150.0, 0.093132466
7160.0, 0.09308362
7170.0, 0.09303487
7180.0, 0.092986226
7190.0, 0.09293767
7200.0, 0.09288921
7210.0, 0.09284085
7220.0, 0.09279259
7230.0, 0.092744425
7240.0, 0.092696354
7250.0, 0.09264838
7260.0, 0.092600495
7270.0, 0.09255271
7280.0, 0.092505015
7290.0, 0.09245742
7300.0, 0.09240992
7310.0, 0.092362516
7320.0, 0.092315204
7330.0, 0.09226799
7340.0, 0.092220865
7350.0, 0.09217384
7360.0, 0.0921269
7370.0, 0.09208006
7380.0, 0.09203331
7390.0, 0.091986656
7400.0, 0.09194009
7410.0, 0.09189361
7420.0, 0.09184723
7430.0, 0.09180095
7440.0, 0.09175476
7450.0, 0.09170865
7460.0, 0.09166264
7470.0, 0.09161673
7480.0, 0.0915709
7490.0, 0.09152516
7500.0, 0.09147952
7510.0, 0.09143396
7520.0, 0.0913885
7530.0, 0.09134313
7540.0, 0.09129784
7550.0, 0.09125265
7560.0, 0.09120754
7570.0, 0.09116253
7580.0, 0.091117606
7590.0, 0.091072775
7600.0, 0.09102803
7610.0, 0.090983376
7620.0, 0.09093881
7630.0, 0.090894334
7640.0, 0.090849936
7650.0, 0.090805635
7660.0, 0.09076142
7670.0, 0.0907173
7680.0, 0.09067327
7690.0, 0.09062931
7700.0, 0.09058545
7710.0, 0.090541676
7720.0, 0.090497985
7730.0, 0.090454385
7740.0, 0.09041087
7750.0, 0.09036745
7760.0, 0.090324104
7770.0, 0.090280846
7780.0, 0.09023768
7790.0, 0.090194605
7800.0, 0.0901516
7810.0, 0.09010869
7820.0, 0.09006587
7830.0, 0.09002312
7840.0, 0.08998047
7850.0, 0.0899379
7860.0, 0.08989542
7870.0, 0.08985301
7880.0, 0.0898107
7890.0, 0.08976846
7900.0, 0.08972632
7910.0, 0.08968425
7920.0, 0.089642264
7930.0, 0.08960037
7940.0, 0.08955856
7950.0, 0.089516826
7960.0, 0.08947518
7970.0, 0.08943361
7980.0, 0.08939213
7990.0, 0.08935074
8000.0, 0.08930942
8010.0, 0.089268185
8020.0, 0.08922703
8030.0, 0.08918596
8040.0, 0.089144975
8050.0, 0.089104064
8060.0, 0.089063235
8070.0, 0.089022495
8080.0, 0.08898183
8090.0, 0.08894125
8100.0, 0.088900745
8110.0, 0.088860326
8120.0, 0.08881999
8130.0, 0.088779725
8140.0, 0.088739544
8150.0, 0.088699445
8160.0, 0.08865943
8170.0, 0.088619485
8180.0, 0.088579625
8190.0, 0.08853984
8200.0, 0.08850014
8210.0, 0.08846052
8220.0, 0.08842097
8230.0, 0.08838151
8240.0, 0.088342115
8250.0, 0.08830281
8260.0, 0.08826358
8270.0, 0.088224426
8280.0, 0.08818535
8290.0, 0.08814636
8300.0, 0.08810744
8310.0, 0.0880686
8320.0, 0.08802983
8330.0, 0.08799115
8340.0, 0.08795253
8350.0, 0.087914005
8360.0, 0.087875545
8370.0, 0.08783717
8380.0, 0.08779886
8390.0, 0.08776064
8400.0, 0.08772249
8410.0, 0.087684415
8420.0, 0.08764641
8430.0, 0.08760849
8440.0, 0.087570645
8450.0, 0.08753287
8460.0, 0.08749517
8470.0, 0.087457545
8480.0, 0.08742
8490.0, 0.087382525
8500.0, 0.08734513
8510.0, 0.0873078
8520.0, 0.08727056
8530.0, 0.08723339
8540.0, 0.08719628
8550.0, 0.08715925
8560.0, 0.087122306
8570.0, 0.08708542
8580.0, 0.08704861
8590.0, 0.08701188
8600.0, 0.086975224
8610.0, 0.08693864
8620.0, 0.08690212
8630.0, 0.086865686
8640.0, 0.08682931
8650.0, 0.08679302
8660.0, 0.08675679
8670.0, 0.086720645
8680.0, 0.08668456
8690.0, 0.08664855
8700.0, 0.08661261
8710.0, 0.08657676
8720.0, 0.08654096
8730.0, 0.086505234
8740.0, 0.08646958
8750.0, 0.08643401
8760.0, 0.0863985
8770.0, 0.08636306
8780.0, 0.086327694
8790.0, 0.0862924
8800.0, 0.086257175
8810.0, 0.086222015
8820.0, 0.08618692
8830.0, 0.086151905
8840.0, 0.08611696
8850.0, 0.086082086
8860.0, 0.08604728
8870.0, 0.08601254
8880.0, 0.08597787
8890.0, 0.08594327
8900.0, 0.08590873
8910.0, 0.085874274
