Energy (in eV), backscattering yield of material np2k-NASCAP at incidence 30.0 degree
   X,       Y
7860.0, 0.10727688
7870.0, 0.10722613
7880.0, 0.107175484
7890.0, 0.10712493
7900.0, 0.10707447
7910.0, 0.10702412
7920.0, 0.10697386
7930.0, 0.10692369
7940.0, 0.106873624
7950.0, 0.10682366
7960.0, 0.10677378
7970.0, 0.106724
7980.0, 0.10667432
7990.0, 0.10662474
8000.0, 0.10657524
8010.0, 0.10652584
8020.0, 0.106476545
8030.0, 0.10642734
8040.0, 0.10637823
8050.0, 0.10632921
8060.0, 0.10628028
8070.0, 0.106231466
8080.0, 0.10618273
8090.0, 0.10613408
8100.0, 0.10608554
8110.0, 0.10603709
8120.0, 0.105988726
8130.0, 0.10594047
8140.0, 0.105892286
8150.0, 0.105844215
8160.0, 0.105796225
8170.0, 0.10574833
8180.0, 0.10570053
8190.0, 0.10565282
8200.0, 0.1056052
8210.0, 0.10555767
8220.0, 0.105510235
8230.0, 0.105462894
8240.0, 0.10541564
8250.0, 0.10536848
8260.0, 0.105321415
8270.0, 0.10527443
8280.0, 0.105227545
8290.0, 0.10518075
8300.0, 0.10513404
8310.0, 0.10508742
8320.0, 0.10504089
8330.0, 0.10499446
8340.0, 0.1049481
8350.0, 0.10490185
8360.0, 0.10485568
8370.0, 0.104809605
8380.0, 0.10476361
8390.0, 0.10471771
8400.0, 0.104671896
8410.0, 0.104626164
8420.0, 0.10458053
8430.0, 0.104534976
8440.0, 0.10448952
8450.0, 0.104444146
8460.0, 0.104398854
8470.0, 0.10435366
8480.0, 0.10430855
8490.0, 0.10426352
8500.0, 0.10421859
8510.0, 0.104173735
8520.0, 0.10412897
8530.0, 0.1040843
8540.0, 0.10403971
8550.0, 0.1039952
8560.0, 0.10395078
8570.0, 0.103906445
8580.0, 0.103862196
8590.0, 0.10381804
8600.0, 0.10377397
8610.0, 0.10372998
8620.0, 0.103686064
8630.0, 0.10364225
8640.0, 0.103598505
8650.0, 0.10355486
8660.0, 0.10351128
8670.0, 0.10346781
