Energy (in eV), backscattering yield of material sc2k-NASCAP at incidence 10.0 degree
   X,       Y
7160.0, 0.13532218
7170.0, 0.13527372
7180.0, 0.13522536
7190.0, 0.13517708
7200.0, 0.1351289
7210.0, 0.13508081
7220.0, 0.13503283
7230.0, 0.13498496
7240.0, 0.13493715
7250.0, 0.13488945
7260.0, 0.13484184
7270.0, 0.13479434
7280.0, 0.13474694
7290.0, 0.1346996
7300.0, 0.13465238
7310.0, 0.13460524
7320.0, 0.1345582
7330.0, 0.13451126
7340.0, 0.13446443
7350.0, 0.13441767
7360.0, 0.134371
7370.0, 0.13432443
7380.0, 0.13427794
7390.0, 0.13423157
7400.0, 0.13418525
7410.0, 0.13413906
7420.0, 0.13409296
7430.0, 0.13404694
7440.0, 0.13400102
7450.0, 0.13395518
7460.0, 0.13390943
7470.0, 0.13386378
7480.0, 0.13381824
7490.0, 0.13377276
7500.0, 0.13372739
7510.0, 0.13368209
7520.0, 0.13363689
7530.0, 0.13359179
7540.0, 0.13354677
7550.0, 0.13350184
7560.0, 0.133457
7570.0, 0.13341224
7580.0, 0.13336758
7590.0, 0.13332303
7600.0, 0.13327853
7610.0, 0.13323414
7620.0, 0.13318984
7630.0, 0.13314562
7640.0, 0.1331015
7650.0, 0.13305745
7660.0, 0.1330135
7670.0, 0.13296963
7680.0, 0.13292585
7690.0, 0.13288216
7700.0, 0.13283856
7710.0, 0.13279505
7720.0, 0.13275161
7730.0, 0.13270827
7740.0, 0.13266501
7750.0, 0.13262184
7760.0, 0.13257876
7770.0, 0.13253576
7780.0, 0.13249284
7790.0, 0.13245001
7800.0, 0.13240728
7810.0, 0.13236462
7820.0, 0.13232204
7830.0, 0.13227955
7840.0, 0.13223717
7850.0, 0.13219483
7860.0, 0.1321526
7870.0, 0.13211045
7880.0, 0.13206838
7890.0, 0.1320264
7900.0, 0.1319845
7910.0, 0.13194267
7920.0, 0.13190095
7930.0, 0.1318593
7940.0, 0.13181774
7950.0, 0.13177626
7960.0, 0.13173486
7970.0, 0.13169354
7980.0, 0.13165231
7990.0, 0.13161115
8000.0, 0.13157009
8010.0, 0.1315291
8020.0, 0.13148819
8030.0, 0.13144736
8040.0, 0.13140662
8050.0, 0.13136595
8060.0, 0.13132538
8070.0, 0.13128488
8080.0, 0.13124445
8090.0, 0.13120411
8100.0, 0.13116385
8110.0, 0.13112368
8120.0, 0.13108358
8130.0, 0.13104355
8140.0, 0.13100362
8150.0, 0.13096376
8160.0, 0.13092399
8170.0, 0.13088427
8180.0, 0.13084465
8190.0, 0.1308051
8200.0, 0.13076565
8210.0, 0.13072626
8220.0, 0.13068695
8230.0, 0.13064773
8240.0, 0.13060857
8250.0, 0.1305695
8260.0, 0.1305305
8270.0, 0.1304916
8280.0, 0.13045275
8290.0, 0.13041398
8300.0, 0.13037531
8310.0, 0.1303367
8320.0, 0.13029817
8330.0, 0.13025972
8340.0, 0.13022135
8350.0, 0.13018303
8360.0, 0.1301448
8370.0, 0.13010666
8380.0, 0.13006859
8390.0, 0.1300306
8400.0, 0.12999268
8410.0, 0.12995483
8420.0, 0.12991706
