Energy (in eV), SEEE yield of material ka2k-NASCAP at isotropic incidence
   X,       Y
8700.0, 0.34121093
8710.0, 0.34091237
8720.0, 0.34061444
8730.0, 0.3403171
8740.0, 0.34002036
8750.0, 0.33972427
8760.0, 0.3394287
8770.0, 0.33913374
8780.0, 0.3388394
8790.0, 0.3385456
8800.0, 0.3382524
8810.0, 0.3379598
8820.0, 0.33766776
8830.0, 0.33737633
8840.0, 0.33708543
8850.0, 0.33679506
8860.0, 0.33650538
8870.0, 0.33621624
8880.0, 0.33592764
8890.0, 0.33563957
8900.0, 0.33535212
8910.0, 0.33506525
8920.0, 0.3347789
8930.0, 0.33449322
8940.0, 0.33420792
8950.0, 0.3339233
8960.0, 0.3336392
8970.0, 0.33335567
8980.0, 0.33307266
8990.0, 0.3327902
9000.0, 0.33250833
9010.0, 0.332227
9020.0, 0.3319462
9030.0, 0.33166596
9040.0, 0.33138627
9050.0, 0.33110705
9060.0, 0.33082846
9070.0, 0.3305503
9080.0, 0.33027285
9090.0, 0.3299958
9100.0, 0.3297193
9110.0, 0.32944334
9120.0, 0.32916793
9130.0, 0.328893
9140.0, 0.32861865
9150.0, 0.3283448
9160.0, 0.32807148
9170.0, 0.32779872
9180.0, 0.32752636
9190.0, 0.32725465
9200.0, 0.32698342
9210.0, 0.3267127
9220.0, 0.32644242
9230.0, 0.32617277
9240.0, 0.32590356
9250.0, 0.32563484
9260.0, 0.32536668
9270.0, 0.325099
9280.0, 0.32483187
9290.0, 0.32456523
9300.0, 0.32429904
9310.0, 0.32403332
9320.0, 0.3237682
9330.0, 0.32350355
9340.0, 0.3232394
9350.0, 0.3229757
9360.0, 0.32271254
9370.0, 0.3224499
9380.0, 0.32218763
9390.0, 0.32192594
9400.0, 0.32166478
9410.0, 0.321404
9420.0, 0.32114375
9430.0, 0.320884
9440.0, 0.32062474
9450.0, 0.3203659
9460.0, 0.32010755
9470.0, 0.3198497
9480.0, 0.3195924
9490.0, 0.3193355
9500.0, 0.31907907
9510.0, 0.3188231
9520.0, 0.3185676
9530.0, 0.31831264
9540.0, 0.31805807
9550.0, 0.31780404
9560.0, 0.31755036
9570.0, 0.31729725
9580.0, 0.31704462
9590.0, 0.31679234
9600.0, 0.3165406
9610.0, 0.3162893
9620.0, 0.3160384
9630.0, 0.3157881
9640.0, 0.31553817
9650.0, 0.31528866
9660.0, 0.31503963
9670.0, 0.31479102
9680.0, 0.31454295
9690.0, 0.3142953
9700.0, 0.31404802
9710.0, 0.31380123
9720.0, 0.31355488
9730.0, 0.313309
9740.0, 0.31306356
9750.0, 0.31281856
9760.0, 0.31257397
9770.0, 0.31232983
9780.0, 0.31208614
9790.0, 0.3118429
9800.0, 0.31160003
9810.0, 0.31135765
9820.0, 0.3111157
9830.0, 0.31087416
9840.0, 0.3106331
9850.0, 0.31039238
9860.0, 0.31015217
9870.0, 0.30991238
9880.0, 0.30967295
9890.0, 0.309434
9900.0, 0.30919552
9910.0, 0.30895734
9920.0, 0.30871964
9930.0, 0.30848235
9940.0, 0.30824548
9950.0, 0.3080091
9960.0, 0.30777302
9970.0, 0.3075374
9980.0, 0.3073022
9990.0, 0.30706745
10000.0, 0.30683306
10010.0, 0.30659905
10020.0, 0.30636552
10030.0, 0.3061324
10040.0, 0.30589968
10050.0, 0.30566734
10060.0, 0.30543533
10070.0, 0.30520388
10080.0, 0.30497274
10090.0, 0.304742
10100.0, 0.3045117
10110.0, 0.30428177
10120.0, 0.30405223
10130.0, 0.3038231
10140.0, 0.30359435
10150.0, 0.30336607
10160.0, 0.3031381
10170.0, 0.3029105
10180.0, 0.30268338
10190.0, 0.30245662
10200.0, 0.30223027
10210.0, 0.30200425
10220.0, 0.30177864
10230.0, 0.30155343
10240.0, 0.30132863
10250.0, 0.30110416
10260.0, 0.30088007
10270.0, 0.30065635
10280.0, 0.3004331
10290.0, 0.3002102
10300.0, 0.29998767
10310.0, 0.2997655
10320.0, 0.29954374
10330.0, 0.2993223
10340.0, 0.2991013
10350.0, 0.2988806
10360.0, 0.29866037
10370.0, 0.29844046
10380.0, 0.2982209
10390.0, 0.29800177
10400.0, 0.29778293
10410.0, 0.2975645
10420.0, 0.29734644
10430.0, 0.29712874
10440.0, 0.29691145
10450.0, 0.29669446
10460.0, 0.29647785
10470.0, 0.2962616
10480.0, 0.29604572
10490.0, 0.29583022
10500.0, 0.29561505
10510.0, 0.29540023
10520.0, 0.29518583
10530.0, 0.29497173
10540.0, 0.294758
10550.0, 0.29454467
10560.0, 0.2943316
10570.0, 0.29411897
10580.0, 0.29390663
10590.0, 0.29369473
10600.0, 0.29348305
10610.0, 0.29327184
10620.0, 0.29306093
10630.0, 0.29285035
10640.0, 0.29264012
10650.0, 0.29243028
10660.0, 0.29222074
10670.0, 0.29201156
10680.0, 0.29180273
10690.0, 0.2915942
10700.0, 0.2913861
10710.0, 0.29117826
10720.0, 0.2909708
10730.0, 0.2907637
10740.0, 0.29055688
10750.0, 0.29035038
10760.0, 0.29014432
10770.0, 0.2899385
10780.0, 0.28973305
10790.0, 0.28952795
10800.0, 0.28932312
10810.0, 0.2891187
10820.0, 0.28891462
10830.0, 0.28871083
10840.0, 0.28850734
10850.0, 0.2883042
10860.0, 0.28810143
10870.0, 0.28789896
10880.0, 0.28769678
10890.0, 0.28749496
10900.0, 0.28729346
10910.0, 0.28709236
