Energy (in eV), backscattering yield of material osr2k-NASCAP at incidence 40.0 degree
   X,       Y
9620.0, 0.19948915
9630.0, 0.19945258
9640.0, 0.19941609
9650.0, 0.19937967
9660.0, 0.19934331
9670.0, 0.19930702
9680.0, 0.19927081
9690.0, 0.19923466
9700.0, 0.19919859
9710.0, 0.19916259
9720.0, 0.19912666
9730.0, 0.1990908
9740.0, 0.199055
9750.0, 0.19901928
9760.0, 0.19898362
9770.0, 0.19894804
9780.0, 0.19891253
9790.0, 0.19887708
9800.0, 0.19884169
9810.0, 0.19880639
9820.0, 0.19877115
9830.0, 0.19873598
9840.0, 0.19870088
9850.0, 0.19866584
9860.0, 0.19863087
9870.0, 0.19859597
9880.0, 0.19856115
9890.0, 0.19852638
9900.0, 0.19849169
9910.0, 0.19845706
9920.0, 0.19842249
9930.0, 0.198388
9940.0, 0.19835357
9950.0, 0.19831921
9960.0, 0.19828492
9970.0, 0.1982507
9980.0, 0.19821653
9990.0, 0.19818245
10000.0, 0.19814841
10010.0, 0.19811445
10020.0, 0.19808055
10030.0, 0.19804673
10040.0, 0.19801296
10050.0, 0.19797927
10060.0, 0.19794564
10070.0, 0.19791207
10080.0, 0.19787857
10090.0, 0.19784515
10100.0, 0.19781177
10110.0, 0.19777846
10120.0, 0.19774522
10130.0, 0.19771205
10140.0, 0.19767894
10150.0, 0.19764589
10160.0, 0.1976129
10170.0, 0.19757998
10180.0, 0.19754712
10190.0, 0.19751434
10200.0, 0.19748162
10210.0, 0.19744895
10220.0, 0.19741635
10230.0, 0.1973838
10240.0, 0.19735134
10250.0, 0.19731894
10260.0, 0.19728659
10270.0, 0.19725432
10280.0, 0.19722208
10290.0, 0.19718994
10300.0, 0.19715784
10310.0, 0.1971258
10320.0, 0.19709383
10330.0, 0.19706193
10340.0, 0.19703008
10350.0, 0.1969983
10360.0, 0.19696659
10370.0, 0.19693491
10380.0, 0.19690332
10390.0, 0.19687179
10400.0, 0.1968403
10410.0, 0.19680889
10420.0, 0.19677755
10430.0, 0.19674626
10440.0, 0.19671503
10450.0, 0.19668385
10460.0, 0.19665274
10470.0, 0.1966217
10480.0, 0.1965907
10490.0, 0.19655979
10500.0, 0.19652893
10510.0, 0.19649811
10520.0, 0.19646737
10530.0, 0.19643669
10540.0, 0.19640607
10550.0, 0.19637549
10560.0, 0.19634499
10570.0, 0.19631454
10580.0, 0.19628415
10590.0, 0.19625382
10600.0, 0.19622356
10610.0, 0.19619334
10620.0, 0.19616319
10630.0, 0.1961331
10640.0, 0.19610307
10650.0, 0.1960731
10660.0, 0.19604318
10670.0, 0.19601332
10680.0, 0.19598351
10690.0, 0.19595377
10700.0, 0.19592409
10710.0, 0.19589446
10720.0, 0.1958649
10730.0, 0.19583538
10740.0, 0.19580592
10750.0, 0.19577654
10760.0, 0.1957472
10770.0, 0.19571792
10780.0, 0.1956887
10790.0, 0.19565953
10800.0, 0.19563042
10810.0, 0.19560137
10820.0, 0.19557238
10830.0, 0.19554344
10840.0, 0.19551456
10850.0, 0.19548573
10860.0, 0.19545695
10870.0, 0.19542824
10880.0, 0.19539958
10890.0, 0.19537099
10900.0, 0.19534244
10910.0, 0.19531395
10920.0, 0.19528551
10930.0, 0.19525713
10940.0, 0.19522882
10950.0, 0.19520055
10960.0, 0.19517232
10970.0, 0.19514416
10980.0, 0.19511607
10990.0, 0.19508803
11000.0, 0.19506003
11010.0, 0.19503209
11020.0, 0.19500421
11030.0, 0.19497637
11040.0, 0.1949486
11050.0, 0.19492088
11060.0, 0.19489321
11070.0, 0.1948656
11080.0, 0.19483805
11090.0, 0.19481054
11100.0, 0.19478309
11110.0, 0.19475569
11120.0, 0.19472834
11130.0, 0.19470106
11140.0, 0.19467382
11150.0, 0.19464664
11160.0, 0.1946195
11170.0, 0.19459243
11180.0, 0.1945654
11190.0, 0.19453843
11200.0, 0.19451152
11210.0, 0.19448465
11220.0, 0.19445783
11230.0, 0.19443108
11240.0, 0.19440436
11250.0, 0.1943777
11260.0, 0.1943511
