Energy (in eV), SEEE yield of material sc2k-NASCAP at isotropic incidence
   X,       Y
7380.0, 3.5764189
7390.0, 3.573117
7400.0, 3.5698225
7410.0, 3.5665348
7420.0, 3.5632534
7430.0, 3.5599806
7440.0, 3.556713
7450.0, 3.5534534
7460.0, 3.5502
7470.0, 3.5469537
7480.0, 3.5437143
7490.0, 3.540482
7500.0, 3.5372558
7510.0, 3.534037
7520.0, 3.530824
7530.0, 3.527619
7540.0, 3.5244198
7550.0, 3.521228
7560.0, 3.5180416
7570.0, 3.5148625
7580.0, 3.5116906
7590.0, 3.5085242
7600.0, 3.5053654
7610.0, 3.5022128
7620.0, 3.4990666
7630.0, 3.4959266
7640.0, 3.4927936
7650.0, 3.4896667
7660.0, 3.4865468
7670.0, 3.4834332
7680.0, 3.4803255
7690.0, 3.4772246
7700.0, 3.47413
7710.0, 3.4710412
7720.0, 3.4679594
7730.0, 3.4648833
7740.0, 3.4618134
7750.0, 3.4587502
7760.0, 3.4556935
7770.0, 3.4526434
7780.0, 3.4495983
7790.0, 3.4465604
7800.0, 3.4435275
7810.0, 3.4405017
7820.0, 3.4374824
7830.0, 3.4344683
7840.0, 3.4314604
7850.0, 3.4284592
7860.0, 3.425463
7870.0, 3.4224741
7880.0, 3.41949
7890.0, 3.4165127
7900.0, 3.4135413
7910.0, 3.4105752
7920.0, 3.407616
7930.0, 3.4046621
7940.0, 3.401714
7950.0, 3.3987725
7960.0, 3.3958364
7970.0, 3.3929064
7980.0, 3.3899815
7990.0, 3.3870633
8000.0, 3.3841498
8010.0, 3.3812432
8020.0, 3.378342
8030.0, 3.3754466
8040.0, 3.3725574
8050.0, 3.3696728
8060.0, 3.3667946
8070.0, 3.3639219
8080.0, 3.361055
8090.0, 3.358193
8100.0, 3.3553371
8110.0, 3.3524876
8120.0, 3.3496432
8130.0, 3.3468041
8140.0, 3.3439708
8150.0, 3.341143
8160.0, 3.3383207
8170.0, 3.3355036
8180.0, 3.3326917
8190.0, 3.3298864
8200.0, 3.3270855
8210.0, 3.324291
8220.0, 3.3215013
8230.0, 3.3187177
8240.0, 3.3159382
8250.0, 3.313165
8260.0, 3.310397
8270.0, 3.307634
8280.0, 3.304877
8290.0, 3.3021247
8300.0, 3.299378
8310.0, 3.2966368
8320.0, 3.2939005
8330.0, 3.2911696
8340.0, 3.288444
8350.0, 3.2857232
8360.0, 3.283008
8370.0, 3.280298
8380.0, 3.2775931
8390.0, 3.2748935
8400.0, 3.272199
8410.0, 3.269509
8420.0, 3.266825
8430.0, 3.2641459
8440.0, 3.2614715
8450.0, 3.2588024
8460.0, 3.2561383
8470.0, 3.2534792
8480.0, 3.2508256
8490.0, 3.2481766
8500.0, 3.2455328
8510.0, 3.242893
8520.0, 3.2402594
8530.0, 3.2376304
8540.0, 3.2350059
8550.0, 3.2323866
8560.0, 3.2297726
8570.0, 3.2271636
8580.0, 3.2245586
8590.0, 3.2219586
8600.0, 3.2193637
8610.0, 3.216774
8620.0, 3.214189
8630.0, 3.2116086
8640.0, 3.2090333
8650.0, 3.206463
8660.0, 3.2038965
8670.0, 3.2013352
8680.0, 3.1987789
8690.0, 3.1962273
8700.0, 3.19368
8710.0, 3.1911376
8720.0, 3.1886
8730.0, 3.186067
8740.0, 3.183539
8750.0, 3.1810155
8760.0, 3.1784961
8770.0, 3.175982
8780.0, 3.1734722
8790.0, 3.1709664
8800.0, 3.168466
8810.0, 3.16597
8820.0, 3.1634786
8830.0, 3.1609914
8840.0, 3.1585097
8850.0, 3.1560311
8860.0, 3.1535578
8870.0, 3.1510894
8880.0, 3.148625
8890.0, 3.146165
8900.0, 3.1437092
8910.0, 3.1412585
8920.0, 3.1388123
8930.0, 3.1363695
8940.0, 3.133932
8950.0, 3.1314986
8960.0, 3.1290703
8970.0, 3.1266448
8980.0, 3.1242244
8990.0, 3.1218092
9000.0, 3.1193972
9010.0, 3.11699
9020.0, 3.114587
9030.0, 3.1121886
9040.0, 3.1097944
9050.0, 3.107404
9060.0, 3.105018
9070.0, 3.1026368
9080.0, 3.1002593
9090.0, 3.097886
9100.0, 3.095517
9110.0, 3.0931528
9120.0, 3.0907924
9130.0, 3.0884361
9140.0, 3.0860834
9150.0, 3.0837355
9160.0, 3.081392
9170.0, 3.079052
9180.0, 3.0767164
9190.0, 3.0743856
9200.0, 3.072058
9210.0, 3.069735
9220.0, 3.0674155
9230.0, 3.0651007
9240.0, 3.0627897
9250.0, 3.0604825
9260.0, 3.0581791
9270.0, 3.0558805
9280.0, 3.0535862
9290.0, 3.0512948
9300.0, 3.0490081
9310.0, 3.046725
9320.0, 3.044446
9330.0, 3.042171
9340.0, 3.0398998
9350.0, 3.0376322
9360.0, 3.0353699
9370.0, 3.0331106
9380.0, 3.030855
9390.0, 3.0286036
9400.0, 3.026356
9410.0, 3.0241122
9420.0, 3.0218725
9430.0, 3.0196366
9440.0, 3.0174038
9450.0, 3.0151763
9460.0, 3.0129516
9470.0, 3.0107307
9480.0, 3.0085144
9490.0, 3.0063012
9500.0, 3.0040922
9510.0, 3.0018861
9520.0, 2.9996843
9530.0, 2.9974868
9540.0, 2.9952922
9550.0, 2.9931023
9560.0, 2.990915
9570.0, 2.9887323
9580.0, 2.986553
9590.0, 2.984377
9600.0, 2.982205
9610.0, 2.980037
9620.0, 2.9778728
9630.0, 2.9757113
9640.0, 2.9735537
9650.0, 2.9714005
9660.0, 2.96925
9670.0, 2.9671044
9680.0, 2.9649608
9690.0, 2.962822
9700.0, 2.9606867
9710.0, 2.9585543
9720.0, 2.956426
9730.0, 2.954301
9740.0, 2.9521797
9750.0, 2.9500618
9760.0, 2.9479477
9770.0, 2.9458363
9780.0, 2.9437296
9790.0, 2.941626
9800.0, 2.9395258
9810.0, 2.9374287
9820.0, 2.9353354
9830.0, 2.9332457
9840.0, 2.9311597
9850.0, 2.9290764
9860.0, 2.9269972
9870.0, 2.9249213
9880.0, 2.9228487
9890.0, 2.9207797
9900.0, 2.9187143
9910.0, 2.9166515
9920.0, 2.9145927
9930.0, 2.9125373
9940.0, 2.9104853
9950.0, 2.9084363
9960.0, 2.9063911
9970.0, 2.9043486
9980.0, 2.9023101
9990.0, 2.9002752
10000.0, 2.8982427
10010.0, 2.896214
10020.0, 2.8941884
10030.0, 2.8921661
10040.0, 2.890147
10050.0, 2.8881316
10060.0, 2.8861194
10070.0, 2.8841105
10080.0, 2.8821046
10090.0, 2.8801017
10100.0, 2.8781025
10110.0, 2.876107
10120.0, 2.8741138
10130.0, 2.872124
10140.0, 2.8701375
10150.0, 2.868155
10160.0, 2.8661745
10170.0, 2.864198
10180.0, 2.8622239
10190.0, 2.8602538
10200.0, 2.8582864
10210.0, 2.8563225
10220.0, 2.8543608
10230.0, 2.8524032
10240.0, 2.8504486
10250.0, 2.848497
10260.0, 2.8465488
10270.0, 2.844603
10280.0, 2.842661
10290.0, 2.8407216
10300.0, 2.8387854
10310.0, 2.8368523
10320.0, 2.8349226
10330.0, 2.8329957
10340.0, 2.8310719
10350.0, 2.8291512
10360.0, 2.827233
10370.0, 2.825318
10380.0, 2.8234065
10390.0, 2.821498
10400.0, 2.8195925
10410.0, 2.8176894
10420.0, 2.81579
10430.0, 2.813893
10440.0, 2.8119996
10450.0, 2.8101084
10460.0, 2.808221
10470.0, 2.8063362
10480.0, 2.8044543
10490.0, 2.8025749
10500.0, 2.8006992
10510.0, 2.798826
10520.0, 2.7969565
10530.0, 2.795089
10540.0, 2.7932243
10550.0, 2.7913628
10560.0, 2.7895043
10570.0, 2.7876492
10580.0, 2.785796
10590.0, 2.783946
10600.0, 2.7820985
10610.0, 2.780255
10620.0, 2.778414
10630.0, 2.7765746
10640.0, 2.774739
10650.0, 2.7729063
10660.0, 2.771077
10670.0, 2.7692494
10680.0, 2.7674248
10690.0, 2.7656035
10700.0, 2.7637846
10710.0, 2.7619689
10720.0, 2.7601554
10730.0, 2.7583454
10740.0, 2.756538
10750.0, 2.754733
10760.0, 2.7529309
10770.0, 2.7511313
10780.0, 2.749335
10790.0, 2.7475412
10800.0, 2.74575
10810.0, 2.743961
10820.0, 2.7421758
10830.0, 2.7403932
10840.0, 2.7386127
10850.0, 2.7368352
10860.0, 2.7350602
10870.0, 2.733288
10880.0, 2.7315185
10890.0, 2.7297518
10900.0, 2.7279878
10910.0, 2.7262259
10920.0, 2.7244673
10930.0, 2.7227108
10940.0, 2.7209573
10950.0, 2.7192068
10960.0, 2.7174582
10970.0, 2.7157128
10980.0, 2.71397
10990.0, 2.712229
11000.0, 2.7104914
11010.0, 2.7087564
11020.0, 2.7070236
11030.0, 2.7052934
11040.0, 2.7035663
11050.0, 2.7018416
11060.0, 2.7001193
11070.0, 2.6983995
11080.0, 2.6966822
11090.0, 2.6949677
11100.0, 2.6932557
11110.0, 2.6915462
11120.0, 2.6898391
11130.0, 2.6881342
11140.0, 2.6864326
11150.0, 2.6847334
11160.0, 2.6830366
11170.0, 2.6813416
11180.0, 2.6796496
11190.0, 2.6779606
11200.0, 2.6762738
11210.0, 2.6745887
11220.0, 2.6729069
11230.0, 2.671228
11240.0, 2.6695511
11250.0, 2.6678765
11260.0, 2.6662037
11270.0, 2.6645346
11280.0, 2.662867
11290.0, 2.661203
11300.0, 2.6595404
11310.0, 2.65788
11320.0, 2.6562228
11330.0, 2.6545675
11340.0, 2.652915
11350.0, 2.6512647
11360.0, 2.649617
11370.0, 2.6479712
11380.0, 2.6463284
11390.0, 2.6446881
11400.0, 2.6430492
11410.0, 2.6414135
11420.0, 2.6397798
11430.0, 2.6381488
11440.0, 2.63652
11450.0, 2.6348934
11460.0, 2.633269
11470.0, 2.631647
11480.0, 2.630028
11490.0, 2.6284108
11500.0, 2.626796
11510.0, 2.6251833
11520.0, 2.6235733
11530.0, 2.6219652
11540.0, 2.62036
11550.0, 2.6187565
11560.0, 2.6171553
11570.0, 2.615557
11580.0, 2.6139605
11590.0, 2.6123662
11600.0, 2.6107743
11610.0, 2.6091847
11620.0, 2.6075974
11630.0, 2.6060126
11640.0, 2.6044297
11650.0, 2.6028495
11660.0, 2.601271
11670.0, 2.5996947
11680.0, 2.598121
11690.0, 2.5965495
11700.0, 2.59498
11710.0, 2.5934126
11720.0, 2.5918477
11730.0, 2.590285
11740.0, 2.5887246
11750.0, 2.5871663
11760.0, 2.58561
11770.0, 2.584056
11780.0, 2.5825045
11790.0, 2.5809548
11800.0, 2.579407
11810.0, 2.577862
11820.0, 2.5763187
11830.0, 2.574778
11840.0, 2.5732393
11850.0, 2.5717025
11860.0, 2.5701683
11870.0, 2.5686357
11880.0, 2.5671058
11890.0, 2.5655775
11900.0, 2.5640516
11910.0, 2.562528
11920.0, 2.5610065
11930.0, 2.5594869
11940.0, 2.5579693
11950.0, 2.5564537
